DBN,School Name,Cohort Year,Econ Disadv # Total Cohort,Econ Disadv # Grads,Econ Disadv % Grads,Econ Disadv # Total Regents,Econ Disadv % Total Regents of Cohort,Econ Disadv # Advanced Regents,Econ Disadv % Advanced Regents of Cohort,Econ Disadv # Dropout,Econ Disadv % Dropout,Not Econ Disadv # Total Cohort,Not Econ Disadv # Grads,Not Econ Disadv % Grads,Not Econ Disadv # Total Regents,Not Econ Disadv % Total Regents of Cohort,Not Econ Disadv # Advanced Regents,Not Econ Disadv % Advanced Regents of Cohort,Not Econ Disadv # Dropout,Not Econ Disadv % Dropout
02M374,GRAMERCY ARTS HIGH SCHOOL,2016,90.0,85,94.4,85,94.4,19,21.1,1,1.1,20.0,20,100.0,20,100.0,9,45.0,0,0.0
02M374,GRAMERCY ARTS HIGH SCHOOL,2015,90.0,75,83.3,70,77.8,3,3.3,3,3.3,19.0,18,94.7,18,94.7,2,10.5,0,0.0
02M374,GRAMERCY ARTS HIGH SCHOOL,2014,95.0,67,70.5,63,66.3,2,2.1,1,1.1,18.0,12,66.7,12,66.7,0,0.0,0,0.0
02M374,GRAMERCY ARTS HIGH SCHOOL,2013,105.0,80,76.2,74,70.5,2,1.9,3,2.9,23.0,19,82.6,18,78.3,1,4.3,1,4.3
02M374,GRAMERCY ARTS HIGH SCHOOL,2012,76.0,55,72.4,47,61.8,2,2.6,3,3.9,29.0,19,65.5,17,58.6,2,6.9,3,10.3
02M374,GRAMERCY ARTS HIGH SCHOOL,2011,83.0,67,80.7,64,77.1,7,8.4,5,6.0,30.0,26,86.7,26,86.7,2,6.7,1,3.3
02M374,GRAMERCY ARTS HIGH SCHOOL,2010,92.0,68,73.9,66,71.7,4,4.3,1,1.1,34.0,19,55.9,19,55.9,0,0.0,4,11.8
02M374,GRAMERCY ARTS HIGH SCHOOL,2009,75.0,56,74.7,53,70.7,1,1.3,2,2.7,37.0,25,67.6,23,62.2,1,2.7,3,8.1
02M374,GRAMERCY ARTS HIGH SCHOOL,2008,55.0,36,65.5,34,61.8,0,0.0,5,9.1,40.0,26,65.0,25,62.5,0,0.0,5,12.5
02M374,GRAMERCY ARTS HIGH SCHOOL,2007,49.0,38,77.6,33,67.3,1,2.0,1,2.0,23.0,15,65.2,14,60.9,1,4.3,3,13.0
