DBN,School Name,Cohort Year,Econ Disadv # Total Cohort,Econ Disadv # Grads,Econ Disadv % Grads,Econ Disadv # Total Regents,Econ Disadv % Total Regents of Cohort,Econ Disadv # Advanced Regents,Econ Disadv % Advanced Regents of Cohort,Econ Disadv # Dropout,Econ Disadv % Dropout,Not Econ Disadv # Total Cohort,Not Econ Disadv # Grads,Not Econ Disadv % Grads,Not Econ Disadv # Total Regents,Not Econ Disadv % Total Regents of Cohort,Not Econ Disadv # Advanced Regents,Not Econ Disadv % Advanced Regents of Cohort,Not Econ Disadv # Dropout,Not Econ Disadv % Dropout
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,2004,86.0,54,62.8,33,38.4,12,14.0,12,14.0,33.0,13,39.4,7,21.2,3,9.1,11,33.3
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,2003,100.0,59,59.0,34,34.0,3,3.0,17,17.0,59.0,16,27.1,11,18.6,4,6.8,10,16.9
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,2002,137.0,84,61.3,41,29.9,0,0.0,8,5.8,39.0,18,46.2,13,33.3,1,2.6,7,17.9
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,2001,128.0,83,64.8,51,39.8,11,8.6,10,7.8,51.0,27,52.9,20,39.2,5,9.8,2,3.9
02M586,HARVEY MILK HIGH SCHOOL,2017,23.0,11,47.8,11,47.8,0,0.0,2,8.7,6.0,4,66.7,4,66.7,1,16.7,0,0.0
02M586,HARVEY MILK HIGH SCHOOL,2016,26.0,s,s,s,s,s,s,s,s,5.0,s,s,s,s,s,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2015,25.0,s,s,s,s,s,s,s,s,5.0,s,s,s,s,s,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2014,31.0,s,s,s,s,s,s,s,s,5.0,s,s,s,s,s,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2013,23.0,2,8.7,2,8.7,0,0.0,12,52.2,6.0,2,33.3,2,33.3,0,0.0,2,33.3
02M586,HARVEY MILK HIGH SCHOOL,2012,28.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2011,24.0,6,25.0,6,25.0,0,0.0,3,12.5,7.0,2,28.6,2,28.6,0,0.0,3,42.9
02M586,HARVEY MILK HIGH SCHOOL,2010,27.0,s,s,s,s,s,s,s,s,4.0,s,s,s,s,s,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2009,43.0,8,18.6,8,18.6,0,0.0,12,27.9,10.0,1,10.0,1,10.0,0,0.0,7,70.0
02M586,HARVEY MILK HIGH SCHOOL,2008,23.0,6,26.1,5,21.7,0,0.0,9,39.1,9.0,3,33.3,3,33.3,0,0.0,2,22.2
02M586,HARVEY MILK HIGH SCHOOL,2007,26.0,s,s,s,s,s,s,s,s,5.0,s,s,s,s,s,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2006,22.0,8,36.4,5,22.7,0,0.0,5,22.7,8.0,4,50.0,2,25.0,0,0.0,2,25.0
02M586,HARVEY MILK HIGH SCHOOL,2005,25.0,s,s,s,s,s,s,s,s,5.0,s,s,s,s,s,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2004,30.0,4,13.3,1,3.3,0,0.0,6,20.0,10.0,2,20.0,1,10.0,0,0.0,1,10.0
02M586,HARVEY MILK HIGH SCHOOL,2003,29.0,5,17.2,2,6.9,0,0.0,10,34.5,14.0,3,21.4,1,7.1,0,0.0,3,21.4
02M586,HARVEY MILK HIGH SCHOOL,2002,20.0,7,35.0,3,15.0,0,0.0,2,10.0,8.0,2,25.0,0,0.0,0,0.0,2,25.0
02M586,HARVEY MILK HIGH SCHOOL,2001,19.0,6,31.6,0,0.0,0,0.0,2,10.5,10.0,1,10.0,0,0.0,0,0.0,4,40.0
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2017,271.0,256,94.5,254,93.7,192,70.8,8,3.0,63.0,58,92.1,58,92.1,43,68.3,0,0.0
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2016,290.0,263,90.7,263,90.7,216,74.5,7,2.4,53.0,49,92.5,49,92.5,40,75.5,3,5.7
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2015,299.0,249,83.3,245,81.9,79,26.4,13,4.3,57.0,53,93.0,53,93.0,20,35.1,1,1.8
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2014,319.0,286,89.7,271,85.0,100,31.3,7,2.2,63.0,58,92.1,58,92.1,24,38.1,0,0.0
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2013,326.0,290,89.0,282,86.5,76,23.3,6,1.8,60.0,54,90.0,54,90.0,17,28.3,0,0.0
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2012,379.0,336,88.7,335,88.4,72,19.0,3,0.8,77.0,73,94.8,73,94.8,16,20.8,1,1.3
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2011,294.0,238,81.0,230,78.2,51,17.3,8,2.7,66.0,56,84.8,56,84.8,19,28.8,2,3.0
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2010,293.0,251,85.7,246,84.0,62,21.2,9,3.1,66.0,55,83.3,55,83.3,9,13.6,2,3.0
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2009,269.0,232,86.2,224,83.3,28,10.4,5,1.9,88.0,73,83.0,72,81.8,14,15.9,2,2.3
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2008,307.0,251,81.8,246,80.1,40,13.0,12,3.9,82.0,62,75.6,62,75.6,10,12.2,4,4.9
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2007,295.0,247,83.7,225,76.3,40,13.6,7,2.4,89.0,77,86.5,71,79.8,15,16.9,4,4.5
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2006,323.0,286,88.5,252,78.0,31,9.6,5,1.5,93.0,79,84.9,72,77.4,9,9.7,5,5.4
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2005,297.0,238,80.1,187,63.0,20,6.7,11,3.7,106.0,76,71.7,65,61.3,5,4.7,9,8.5
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2004,265.0,219,82.6,135,50.9,100,37.7,12,4.5,83.0,77,92.8,50,60.2,35,42.2,0,0.0
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2003,316.0,275,87.0,185,58.5,133,42.1,20,6.3,19.0,0,0.0,0,0.0,0,0.0,1,5.3
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2002,372.0,298,80.1,193,51.9,14,3.8,24,6.5,11.0,0,0.0,0,0.0,0,0.0,1,9.1
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2001,407.0,301,74.0,249,61.2,29,7.1,30,7.4,8.0,1,12.5,0,0.0,0,0.0,6,75.0
02M605,HUMANITIES PREPARATORY ACADEMY,2017,60.0,56,93.3,56,93.3,0,0.0,0,0.0,9.0,8,88.9,8,88.9,0,0.0,0,0.0
02M605,HUMANITIES PREPARATORY ACADEMY,2016,40.0,36,90.0,36,90.0,0,0.0,0,0.0,13.0,13,100.0,13,100.0,0,0.0,0,0.0
02M605,HUMANITIES PREPARATORY ACADEMY,2015,52.0,49,94.2,49,94.2,0,0.0,0,0.0,14.0,13,92.9,13,92.9,0,0.0,0,0.0
02M605,HUMANITIES PREPARATORY ACADEMY,2014,42.0,34,81.0,34,81.0,0,0.0,0,0.0,13.0,13,100.0,13,100.0,0,0.0,0,0.0
02M605,HUMANITIES PREPARATORY ACADEMY,2013,42.0,32,76.2,32,76.2,0,0.0,1,2.4,11.0,6,54.5,6,54.5,0,0.0,1,9.1
02M605,HUMANITIES PREPARATORY ACADEMY,2012,33.0,24,72.7,24,72.7,0,0.0,1,3.0,14.0,11,78.6,11,78.6,0,0.0,0,0.0
02M605,HUMANITIES PREPARATORY ACADEMY,2011,55.0,41,74.5,41,74.5,0,0.0,1,1.8,21.0,13,61.9,13,61.9,0,0.0,2,9.5
02M605,HUMANITIES PREPARATORY ACADEMY,2010,49.0,34,69.4,34,69.4,0,0.0,0,0.0,18.0,14,77.8,14,77.8,0,0.0,1,5.6
02M605,HUMANITIES PREPARATORY ACADEMY,2009,36.0,26,72.2,26,72.2,0,0.0,2,5.6,18.0,12,66.7,12,66.7,0,0.0,2,11.1
02M605,HUMANITIES PREPARATORY ACADEMY,2008,34.0,21,61.8,21,61.8,0,0.0,3,8.8,13.0,11,84.6,11,84.6,0,0.0,2,15.4
02M605,HUMANITIES PREPARATORY ACADEMY,2007,40.0,34,85.0,34,85.0,0,0.0,1,2.5,23.0,18,78.3,18,78.3,0,0.0,0,0.0
02M605,HUMANITIES PREPARATORY ACADEMY,2006,29.0,24,82.8,23,79.3,7,24.1,1,3.4,19.0,15,78.9,15,78.9,2,10.5,0,0.0
02M605,HUMANITIES PREPARATORY ACADEMY,2005,11.0,6,54.5,5,45.5,1,9.1,0,0.0,24.0,15,62.5,15,62.5,2,8.3,4,16.7
02M605,HUMANITIES PREPARATORY ACADEMY,2004,30.0,12,40.0,12,40.0,5,16.7,4,13.3,21.0,11,52.4,10,47.6,2,9.5,2,9.5
02M605,HUMANITIES PREPARATORY ACADEMY,2003,45.0,33,73.3,17,37.8,0,0.0,7,15.6,13.0,2,15.4,2,15.4,0,0.0,0,0.0
02M605,HUMANITIES PREPARATORY ACADEMY,2002,12.0,4,33.3,0,0.0,0,0.0,4,33.3,32.0,19,59.4,3,9.4,0,0.0,7,21.9
02M605,HUMANITIES PREPARATORY ACADEMY,2001,12.0,6,50.0,2,16.7,0,0.0,0,0.0,39.0,24,61.5,5,12.8,0,0.0,3,7.7
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2017,88.0,75,85.2,75,85.2,69,78.4,1,1.1,20.0,18,90.0,18,90.0,18,90.0,2,10.0
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2016,82.0,70,85.4,69,84.1,42,51.2,3,3.7,15.0,14,93.3,14,93.3,10,66.7,1,6.7
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2015,76.0,55,72.4,54,71.1,12,15.8,1,1.3,20.0,18,90.0,17,85.0,2,10.0,0,0.0
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2014,88.0,64,72.7,60,68.2,18,20.5,7,8.0,6.0,5,83.3,5,83.3,1,16.7,0,0.0
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2013,83.0,56,67.5,52,62.7,12,14.5,11,13.3,16.0,15,93.8,14,87.5,5,31.3,1,6.3
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2012,83.0,61,73.5,57,68.7,10,12.0,3,3.6,11.0,5,45.5,4,36.4,1,9.1,1,9.1
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2011,83.0,73,88.0,65,78.3,13,15.7,5,6.0,14.0,10,71.4,10,71.4,1,7.1,3,21.4
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2010,61.0,50,82.0,50,82.0,10,16.4,5,8.2,20.0,12,60.0,11,55.0,1,5.0,3,15.0
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2009,77.0,61,79.2,58,75.3,21,27.3,11,14.3,16.0,10,62.5,8,50.0,3,18.8,3,18.8
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2008,97.0,61,62.9,60,61.9,11,11.3,15,15.5,36.0,20,55.6,19,52.8,6,16.7,4,11.1
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2007,111.0,57,51.4,48,43.2,9,8.1,21,18.9,42.0,13,31.0,11,26.2,0,0.0,16,38.1
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2006,131.0,65,49.6,43,32.8,8,6.1,29,22.1,42.0,18,42.9,11,26.2,0,0.0,14,33.3
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2005,170.0,86,50.6,50,29.4,22,12.9,31,18.2,,,,,,,,,
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2004,215.0,104,48.4,59,27.4,27,12.6,32,14.9,,,,,,,,,
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2003,168.0,s,s,s,s,s,s,s,s,3.0,s,s,s,s,s,s,s,s
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2002,203.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2001,156.0,65,41.7,34,21.8,0,0.0,22,14.1,27.0,2,7.4,0,0.0,0,0.0,18,66.7
02M620,NORMAN THOMAS HS,2011,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
02M620,NORMAN THOMAS HS,2010,53.0,30,56.6,23,43.4,1,1.9,14,26.4,10.0,6,60.0,6,60.0,0,0.0,4,40.0
02M620,NORMAN THOMAS HS,2009,368.0,165,44.8,153,41.6,5,1.4,65,17.7,51.0,12,23.5,10,19.6,0,0.0,29,56.9
02M620,NORMAN THOMAS HS,2008,423.0,155,36.6,138,32.6,2,0.5,60,14.2,93.0,20,21.5,18,19.4,0,0.0,26,28.0
02M620,NORMAN THOMAS HS,2007,447.0,234,52.3,181,40.5,4,0.9,54,12.1,105.0,38,36.2,27,25.7,1,1.0,41,39.0
02M620,NORMAN THOMAS HS,2006,354.0,186,52.5,109,30.8,10,2.8,58,16.4,110.0,36,32.7,24,21.8,1,0.9,47,42.7
02M620,NORMAN THOMAS HS,2005,225.0,86,38.2,42,18.7,2,0.9,38,16.9,137.0,48,35.0,30,21.9,1,0.7,37,27.0
02M620,NORMAN THOMAS HS,2004,365.0,134,36.7,59,16.2,29,7.9,72,19.7,144.0,46,31.9,22,15.3,12,8.3,34,23.6
02M620,NORMAN THOMAS HS,2003,356.0,163,45.8,73,20.5,57,16.0,96,27.0,142.0,33,23.2,14,9.9,11,7.7,28,19.7
02M620,NORMAN THOMAS HS,2002,486.0,249,51.2,103,21.2,12,2.5,131,27.0,92.0,0,0.0,0,0.0,0,0.0,12,13.0
02M620,NORMAN THOMAS HS,2001,510.0,242,47.5,132,25.9,14,2.7,79,15.5,93.0,11,11.8,0,0.0,0,0.0,42,45.2
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2012,74.0,39,52.7,39,52.7,0,0.0,19,25.7,47.0,31,66.0,31,66.0,0,0.0,5,10.6
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2011,107.0,40,37.4,40,37.4,0,0.0,31,29.0,43.0,22,51.2,21,48.8,0,0.0,1,2.3
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2010,205.0,95,46.3,91,44.4,0,0.0,40,19.5,91.0,55,60.4,53,58.2,2,2.2,7,7.7
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2009,419.0,236,56.3,226,53.9,3,0.7,66,15.8,,,,,,,,,
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2008,420.0,s,s,s,s,s,s,s,s,3.0,s,s,s,s,s,s,s,s
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2007,385.0,212,55.1,178,46.2,1,0.3,76,19.7,16.0,1,6.3,0,0.0,0,0.0,13,81.3
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2006,377.0,202,53.6,111,29.4,6,1.6,79,21.0,30.0,0,0.0,0,0.0,0,0.0,23,76.7
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2005,288.0,131,45.5,69,24.0,3,1.0,69,24.0,78.0,26,33.3,13,16.7,0,0.0,30,38.5
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2004,290.0,103,35.5,69,23.8,5,1.7,72,24.8,83.0,19,22.9,13,15.7,0,0.0,41,49.4
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2003,265.0,90,34.0,60,22.6,0,0.0,82,30.9,81.0,16,19.8,11,13.6,1,1.2,27,33.3
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2002,292.0,133,45.5,78,26.7,4,1.4,78,26.7,125.0,12,9.6,5,4.0,1,0.8,60,48.0
02M625,HS OF GRAPHIC COMMUNICATION ARTS,2001,257.0,109,42.4,40,15.6,0,0.0,66,25.7,165.0,24,14.5,9,5.5,0,0.0,58,35.2
02M630,ART AND DESIGN HIGH SCHOOL,2017,199.0,178,89.4,178,89.4,118,59.3,5,2.5,129.0,121,93.8,121,93.8,76,58.9,4,3.1
02M630,ART AND DESIGN HIGH SCHOOL,2016,197.0,180,91.4,178,90.4,129,65.5,1,0.5,162.0,151,93.2,151,93.2,117,72.2,1,0.6
02M630,ART AND DESIGN HIGH SCHOOL,2015,201.0,176,87.6,169,84.1,69,34.3,5,2.5,123.0,110,89.4,104,84.6,40,32.5,1,0.8
02M630,ART AND DESIGN HIGH SCHOOL,2014,241.0,206,85.5,193,80.1,50,20.7,10,4.1,125.0,114,91.2,108,86.4,29,23.2,3,2.4
02M630,ART AND DESIGN HIGH SCHOOL,2013,231.0,182,78.8,178,77.1,31,13.4,11,4.8,95.0,82,86.3,80,84.2,16,16.8,5,5.3
02M630,ART AND DESIGN HIGH SCHOOL,2012,226.0,169,74.8,168,74.3,33,14.6,9,4.0,128.0,102,79.7,100,78.1,19,14.8,3,2.3
02M630,ART AND DESIGN HIGH SCHOOL,2011,205.0,163,79.5,157,76.6,36,17.6,2,1.0,107.0,84,78.5,83,77.6,14,13.1,8,7.5
02M630,ART AND DESIGN HIGH SCHOOL,2010,184.0,138,75.0,134,72.8,19,10.3,6,3.3,89.0,67,75.3,66,74.2,8,9.0,6,6.7
02M630,ART AND DESIGN HIGH SCHOOL,2009,204.0,157,77.0,152,74.5,11,5.4,6,2.9,108.0,88,81.5,87,80.6,9,8.3,4,3.7
02M630,ART AND DESIGN HIGH SCHOOL,2008,199.0,154,77.4,148,74.4,21,10.6,2,1.0,132.0,102,77.3,101,76.5,15,11.4,9,6.8
02M630,ART AND DESIGN HIGH SCHOOL,2007,178.0,131,73.6,122,68.5,28,15.7,9,5.1,96.0,70,72.9,62,64.6,8,8.3,8,8.3
02M630,ART AND DESIGN HIGH SCHOOL,2006,210.0,150,71.4,133,63.3,17,8.1,13,6.2,110.0,66,60.0,58,52.7,9,8.2,9,8.2
02M630,ART AND DESIGN HIGH SCHOOL,2005,168.0,110,65.5,87,51.8,9,5.4,2,1.2,139.0,89,64.0,71,51.1,8,5.8,9,6.5
02M630,ART AND DESIGN HIGH SCHOOL,2004,151.0,108,71.5,77,51.0,16,10.6,3,2.0,117.0,75,64.1,48,41.0,3,2.6,12,10.3
02M630,ART AND DESIGN HIGH SCHOOL,2003,156.0,112,71.8,65,41.7,18,11.5,10,6.4,160.0,81,50.6,54,33.8,16,10.0,10,6.3
02M630,ART AND DESIGN HIGH SCHOOL,2002,115.0,79,68.7,51,44.3,12,10.4,6,5.2,130.0,77,59.2,43,33.1,6,4.6,2,1.5
02M630,ART AND DESIGN HIGH SCHOOL,2001,138.0,110,79.7,52,37.7,15,10.9,4,2.9,142.0,88,62.0,39,27.5,11,7.7,7,4.9
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2017,103.0,83,80.6,83,80.6,0,0.0,5,4.9,31.0,29,93.5,29,93.5,0,0.0,0,0.0
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2016,107.0,83,77.6,82,76.6,1,0.9,6,5.6,25.0,21,84.0,21,84.0,1,4.0,3,12.0
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2015,76.0,51,67.1,41,53.9,1,1.3,5,6.6,21.0,17,81.0,17,81.0,0,0.0,0,0.0
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2014,89.0,62,69.7,47,52.8,2,2.2,5,5.6,30.0,24,80.0,22,73.3,0,0.0,1,3.3
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2013,88.0,43,48.9,38,43.2,3,3.4,3,3.4,38.0,18,47.4,14,36.8,0,0.0,4,10.5
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2012,87.0,59,67.8,58,66.7,7,8.0,7,8.0,42.0,21,50.0,20,47.6,1,2.4,6,14.3
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2011,103.0,88,85.4,85,82.5,17,16.5,6,5.8,50.0,35,70.0,34,68.0,6,12.0,6,12.0
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2010,112.0,83,74.1,76,67.9,10,8.9,8,7.1,33.0,22,66.7,17,51.5,4,12.1,3,9.1
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2009,91.0,56,61.5,53,58.2,4,4.4,7,7.7,39.0,25,64.1,24,61.5,4,10.3,5,12.8
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2008,91.0,62,68.1,59,64.8,9,9.9,11,12.1,27.0,16,59.3,14,51.9,2,7.4,8,29.6
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2007,92.0,71,77.2,57,62.0,10,10.9,8,8.7,21.0,11,52.4,9,42.9,0,0.0,3,14.3
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2006,87.0,72,82.8,52,59.8,3,3.4,3,3.4,31.0,22,71.0,19,61.3,0,0.0,4,12.9
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2005,82.0,73,89.0,47,57.3,2,2.4,1,1.2,29.0,21,72.4,12,41.4,0,0.0,5,17.2
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2004,98.0,83,84.7,52,53.1,16,16.3,7,7.1,32.0,25,78.1,18,56.3,4,12.5,4,12.5
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2003,63.0,45,71.4,21,33.3,5,7.9,6,9.5,42.0,35,83.3,21,50.0,2,4.8,1,2.4
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2002,89.0,74,83.1,33,37.1,6,6.7,4,4.5,47.0,30,63.8,18,38.3,2,4.3,3,6.4
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2001,62.0,48,77.4,24,38.7,5,8.1,5,8.1,57.0,36,63.2,19,33.3,3,5.3,9,15.8
02M690,SCHOOL FOR THE PHYSICAL CITY,2006,32.0,19,59.4,8,25.0,0,0.0,4,12.5,14.0,4,28.6,1,7.1,0,0.0,6,42.9
02M690,SCHOOL FOR THE PHYSICAL CITY,2005,47.0,21,44.7,4,8.5,0,0.0,1,2.1,15.0,2,13.3,1,6.7,0,0.0,3,20.0
02M690,SCHOOL FOR THE PHYSICAL CITY,2004,47.0,16,34.0,5,10.6,0,0.0,13,27.7,17.0,8,47.1,5,29.4,0,0.0,4,23.5
02M690,SCHOOL FOR THE PHYSICAL CITY,2003,28.0,11,39.3,5,17.9,0,0.0,9,32.1,13.0,3,23.1,3,23.1,0,0.0,2,15.4
02M690,SCHOOL FOR THE PHYSICAL CITY,2002,19.0,8,42.1,4,21.1,0,0.0,6,31.6,12.0,6,50.0,5,41.7,0,0.0,4,33.3
02M690,SCHOOL FOR THE PHYSICAL CITY,2001,31.0,14,45.2,6,19.4,0,0.0,8,25.8,16.0,9,56.3,4,25.0,0,0.0,4,25.0
03M283,MANHATTAN THEATRE LAB HS,2011,57.0,28,49.1,21,36.8,0,0.0,11,19.3,8.0,4,50.0,3,37.5,0,0.0,2,25.0
03M283,MANHATTAN THEATRE LAB HS,2010,44.0,17,38.6,17,38.6,0,0.0,9,20.5,13.0,5,38.5,5,38.5,1,7.7,2,15.4
03M283,MANHATTAN THEATRE LAB HS,2009,57.0,26,45.6,22,38.6,1,1.8,12,21.1,11.0,6,54.5,6,54.5,0,0.0,2,18.2
03M283,MANHATTAN THEATRE LAB HS,2008,41.0,13,31.7,12,29.3,0,0.0,6,14.6,33.0,19,57.6,19,57.6,0,0.0,3,9.1
03M283,MANHATTAN THEATRE LAB HS,2007,54.0,16,29.6,10,18.5,0,0.0,9,16.7,37.0,9,24.3,5,13.5,0,0.0,8,21.6
03M283,MANHATTAN THEATRE LAB HS,2006,42.0,22,52.4,8,19.0,0,0.0,2,4.8,32.0,19,59.4,9,28.1,0,0.0,4,12.5
03M283,MANHATTAN THEATRE LAB HS,2005,27.0,27,100.0,14,51.9,0,0.0,0,0.0,21.0,17,81.0,4,19.0,0,0.0,1,4.8
03M283,MANHATTAN THEATRE LAB HS,2004,35.0,18,51.4,6,17.1,1,2.9,7,20.0,21.0,10,47.6,2,9.5,0,0.0,2,9.5
03M283,MANHATTAN THEATRE LAB HS,2003,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
03M283,MANHATTAN THEATRE LAB HS,2002,,,,,,,,,,1.0,s,s,s,s,s,s,s,s
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2017,80.0,57,71.3,57,71.3,1,1.3,7,8.8,11.0,9,81.8,9,81.8,0,0.0,1,9.1
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2016,83.0,55,66.3,46,55.4,2,2.4,10,12.0,19.0,12,63.2,11,57.9,0,0.0,3,15.8
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2015,87.0,64,73.6,56,64.4,1,1.1,6,6.9,23.0,15,65.2,14,60.9,0,0.0,5,21.7
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2014,72.0,41,56.9,36,50.0,3,4.2,9,12.5,19.0,11,57.9,11,57.9,0,0.0,2,10.5
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2013,72.0,47,65.3,45,62.5,2,2.8,8,11.1,34.0,24,70.6,22,64.7,0,0.0,3,8.8
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2012,76.0,49,64.5,45,59.2,0,0.0,12,15.8,25.0,16,64.0,15,60.0,0,0.0,5,20.0
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2011,79.0,62,78.5,59,74.7,0,0.0,4,5.1,17.0,9,52.9,9,52.9,0,0.0,3,17.6
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2010,73.0,49,67.1,38,52.1,0,0.0,8,11.0,22.0,14,63.6,13,59.1,0,0.0,5,22.7
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2009,90.0,60,66.7,51,56.7,1,1.1,5,5.6,24.0,11,45.8,9,37.5,0,0.0,6,25.0
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2008,54.0,33,61.1,32,59.3,1,1.9,4,7.4,28.0,13,46.4,12,42.9,0,0.0,4,14.3
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2007,55.0,28,50.9,19,34.5,0,0.0,5,9.1,32.0,14,43.8,9,28.1,1,3.1,12,37.5
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2006,57.0,36,63.2,33,57.9,0,0.0,1,1.8,32.0,19,59.4,16,50.0,1,3.1,6,18.8
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2005,63.0,26,41.3,23,36.5,0,0.0,4,6.3,36.0,19,52.8,14,38.9,0,0.0,7,19.4
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2004,3.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",2017,83.0,73,88.0,73,88.0,0,0.0,1,1.2,15.0,12,80.0,12,80.0,0,0.0,1,6.7
