DBN,School Name,Cohort Year,Asian # Total Cohort,Asian # Grads,Asian % Grads,Asian # Total Regents,Asian % Total Regents of Cohort,Asian # Advanced Regents,Asian % Advanced Regents of Cohort,Asian # Dropout,Asian % Dropout,Black # Total Cohort,Black # Grads,Black % Grads,Black # Total Regents,Black % Total Regents of Cohort,Black # Advanced Regents,Black % Advanced Regents of Cohort,Black # Dropout,Black % Dropout,Hispanic # Total Cohort,Hispanic # Grads,Hispanic % Grads,Hispanic # Total Regents,Hispanic % Total Regents of Cohort,Hispanic # Advanced Regents,Hispanic % Advanced Regents of Cohort,Hispanic # Dropout,Hispanic % Dropout,White # Total Cohort,White # Grads,White % Grads,White # Total Regents,White % Total Regents of Cohort,White # Advanced Regents,White % Advanced Regents of Cohort,White # Dropout,White % Dropout,Native American # Total Cohort,Native American # Grads,Native American % Grads,Native American # Total Regents,Native American % Total Regents of Cohort,Native American # Advanced Regents,Native American % Advanced Regents of Cohort,Native American # Dropout,Native American % Dropout,Multi-Racial # Total Cohort,Multi-Racial # Grads,Multi-Racial % Grads,Multi-Racial # Total Regents,Multi-Racial % Total Regents of Cohort,Multi-Racial # Advanced Regents,Multi-Racial % Advanced Regents of Cohort,Multi-Racial # Dropout,Multi-Racial % Dropout
02M298,PACE HIGH SCHOOL,2017,11.0,9,81.8,9,81.8,4,36.4,1,9.1,46.0,38,82.6,38,82.6,8,17.4,1,2.2,70.0,50,71.4,50,71.4,23,32.9,5,7.1,11.0,6,54.5,6,54.5,1,9.1,1,9.1,2.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
02M298,PACE HIGH SCHOOL,2016,6.0,4,66.7,4,66.7,1,16.7,0,0,45.0,36,80,36,80,5,11.1,2,4.4,74.0,65,87.8,65,87.8,22,29.7,2,2.7,5.0,s,s,s,s,s,s,s,s,,,,,,,,,,1.0,s,s,s,s,s,s,s,s
02M298,PACE HIGH SCHOOL,2015,5.0,s,s,s,s,s,s,s,s,48.0,39,81.3,37,77.1,1,2.1,3,6.3,73.0,55,75.3,54,74,8,11,6,8.2,5.0,s,s,s,s,s,s,s,s,,,,,,,,,,4.0,s,s,s,s,s,s,s,s
02M298,PACE HIGH SCHOOL,2014,25.0,23,92,23,92,5,20,0,0,22.0,19,86.4,18,81.8,1,4.5,2,9.1,49.0,38,77.6,36,73.5,9,18.4,2,4.1,6.0,4,66.7,4,66.7,0,0,1,16.7,,,,,,,,,,8.0,8,100,8,100,2,25,0,0
02M298,PACE HIGH SCHOOL,2013,12.0,10,83.3,10,83.3,0,0,0,0,29.0,23,79.3,22,75.9,2,6.9,0,0,46.0,39,84.8,39,84.8,7,15.2,1,2.2,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,3.0,s,s,s,s,s,s,s,s
02M298,PACE HIGH SCHOOL,2012,4.0,s,s,s,s,s,s,s,s,43.0,35,81.4,33,76.7,3,7,1,2.3,52.0,48,92.3,47,90.4,6,11.5,0,0,1.0,s,s,s,s,s,s,s,s,9.0,9,100,9,100,1,11.1,0,0,,,,,,,,,
02M298,PACE HIGH SCHOOL,2011,17.0,s,s,s,s,s,s,s,s,23.0,19,82.6,19,82.6,1,4.3,0,0,29.0,26,89.7,26,89.7,6,20.7,0,0,3.0,s,s,s,s,s,s,s,s,26.0,22,84.6,22,84.6,7,26.9,1,3.8,,,,,,,,,
02M298,PACE HIGH SCHOOL,2010,6.0,6,100,6,100,2,33.3,0,0,47.0,43,91.5,42,89.4,7,14.9,2,4.3,33.0,30,90.9,27,81.8,8,24.2,0,0,3.0,s,s,s,s,s,s,s,s,6.0,s,s,s,s,s,s,s,s,,,,,,,,,
02M298,PACE HIGH SCHOOL,2009,4.0,s,s,s,s,s,s,s,s,39.0,31,79.5,31,79.5,1,2.6,1,2.6,45.0,37,82.2,37,82.2,2,4.4,2,4.4,4.0,s,s,s,s,s,s,s,s,6.0,5,83.3,5,83.3,1,16.7,0,0,,,,,,,,,
02M298,PACE HIGH SCHOOL,2008,13.0,11,84.6,11,84.6,2,15.4,1,7.7,24.0,19,79.2,18,75,3,12.5,1,4.2,54.0,47,87,47,87,5,9.3,1,1.9,5.0,s,s,s,s,s,s,s,s,3.0,s,s,s,s,s,s,s,s,,,,,,,,,
02M298,PACE HIGH SCHOOL,2007,24.0,22,91.7,21,87.5,15,62.5,2,8.3,31.0,28,90.3,25,80.6,3,9.7,0,0,26.0,23,88.5,22,84.6,4,15.4,0,0,10.0,s,s,s,s,s,s,s,s,3.0,s,s,s,s,s,s,s,s,,,,,,,,,
02M298,PACE HIGH SCHOOL,2006,12.0,12,100,12,100,11,91.7,0,0,31.0,26,83.9,26,83.9,11,35.5,1,3.2,36.0,29,80.6,27,75,11,30.6,3,8.3,7.0,5,71.4,5,71.4,3,42.9,0,0,6.0,6,100,6,100,3,50,0,0,,,,,,,,,
02M298,PACE HIGH SCHOOL,2005,25.0,24,96,24,96,9,36,0,0,34.0,25,73.5,22,64.7,3,8.8,0,0,23.0,20,87,18,78.3,0,0,1,4.3,5.0,s,s,s,s,s,s,s,s,11.0,s,s,s,s,s,s,s,s,,,,,,,,,
02M298,PACE HIGH SCHOOL,2004,56.0,56,100,56,100,36,64.3,0,0,18.0,14,77.8,14,77.8,2,11.1,3,16.7,28.0,18,64.3,18,64.3,2,7.1,4,14.3,9.0,s,s,s,s,s,s,s,s,4.0,s,s,s,s,s,s,s,s,,,,,,,,,
02M298,PACE HIGH SCHOOL,2002,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M298,PACE HIGH SCHOOL,2003,,,,,,,,,,,,,,,,,,,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",2017,9.0,8,88.9,8,88.9,0,0,1,11.1,15.0,12,80,12,80,0,0,2,13.3,33.0,28,84.8,28,84.8,2,6.1,4,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",2016,2.0,s,s,s,s,s,s,s,s,12.0,4,33.3,4,33.3,0,0,4,33.3,53.0,41,77.4,41,77.4,13,24.5,5,9.4,,,,,,,,,,2.0,s,s,s,s,s,s,s,s,,,,,,,,,
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",2015,3.0,s,s,s,s,s,s,s,s,21.0,17,81,15,71.4,1,4.8,3,14.3,57.0,35,61.4,30,52.6,2,3.5,10,17.5,3.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
