DBN,School Name,Cohort Year,Asian # Total Cohort,Asian # Grads,Asian % Grads,Asian # Total Regents,Asian % Total Regents of Cohort,Asian # Advanced Regents,Asian % Advanced Regents of Cohort,Asian # Dropout,Asian % Dropout,Black # Total Cohort,Black # Grads,Black % Grads,Black # Total Regents,Black % Total Regents of Cohort,Black # Advanced Regents,Black % Advanced Regents of Cohort,Black # Dropout,Black % Dropout,Hispanic # Total Cohort,Hispanic # Grads,Hispanic % Grads,Hispanic # Total Regents,Hispanic % Total Regents of Cohort,Hispanic # Advanced Regents,Hispanic % Advanced Regents of Cohort,Hispanic # Dropout,Hispanic % Dropout,White # Total Cohort,White # Grads,White % Grads,White # Total Regents,White % Total Regents of Cohort,White # Advanced Regents,White % Advanced Regents of Cohort,White # Dropout,White % Dropout,Native American # Total Cohort,Native American # Grads,Native American % Grads,Native American # Total Regents,Native American % Total Regents of Cohort,Native American # Advanced Regents,Native American % Advanced Regents of Cohort,Native American # Dropout,Native American % Dropout,Multi-Racial # Total Cohort,Multi-Racial # Grads,Multi-Racial % Grads,Multi-Racial # Total Regents,Multi-Racial % Total Regents of Cohort,Multi-Racial # Advanced Regents,Multi-Racial % Advanced Regents of Cohort,Multi-Racial # Dropout,Multi-Racial % Dropout
08X305,PABLO NERUDA ACADEMY,2002,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X305,PABLO NERUDA ACADEMY,2001,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2017,1.0,s,s,s,s,s,s,s,s,42.0,33,78.6,33,78.6,0,0,8,19,55.0,42,76.4,42,76.4,0,0,6,10.9,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2016,3.0,s,s,s,s,s,s,s,s,24.0,19,79.2,19,79.2,0,0,2,8.3,68.0,59,86.8,59,86.8,0,0,2,2.9,6.0,5,83.3,5,83.3,0,0,0,0,2.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
08X312,MILLENNIUM ART ACADEMY,2015,1.0,s,s,s,s,s,s,s,s,24.0,17,70.8,14,58.3,1,4.2,2,8.3,77.0,57,74,43,55.8,0,0,9,11.7,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2014,2.0,s,s,s,s,s,s,s,s,32.0,25,78.1,18,56.3,0,0,3,9.4,67.0,47,70.1,39,58.2,0,0,6,9,2.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
08X312,MILLENNIUM ART ACADEMY,2013,2.0,s,s,s,s,s,s,s,s,26.0,s,s,s,s,s,s,s,s,82.0,57,69.5,48,58.5,2,2.4,11,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2012,4.0,s,s,s,s,s,s,s,s,36.0,22,61.1,19,52.8,1,2.8,5,13.9,76.0,52,68.4,42,55.3,4,5.3,12,15.8,3.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2011,1.0,s,s,s,s,s,s,s,s,50.0,34,68,32,64,4,8,4,8,76.0,42,55.3,37,48.7,4,5.3,14,18.4,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2010,2.0,s,s,s,s,s,s,s,s,29.0,s,s,s,s,s,s,s,s,78.0,48,61.5,45,57.7,2,2.6,9,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2009,2.0,s,s,s,s,s,s,s,s,41.0,28,68.3,27,65.9,0,0,2,4.9,66.0,38,57.6,38,57.6,0,0,11,16.7,1.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2008,3.0,s,s,s,s,s,s,s,s,43.0,26,60.5,25,58.1,1,2.3,7,16.3,87.0,46,52.9,40,46,0,0,15,17.2,3.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2007,3.0,s,s,s,s,s,s,s,s,41.0,28,68.3,24,58.5,1,2.4,5,12.2,70.0,41,58.6,30,42.9,2,2.9,8,11.4,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2005,3.0,s,s,s,s,s,s,s,s,48.0,27,56.3,18,37.5,0,0,4,8.3,48.0,32,66.7,22,45.8,1,2.1,2,4.2,3.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2004,7.0,5,71.4,1,14.3,0,0,0,0,37.0,21,56.8,10,27,0,0,1,2.7,46.0,30,65.2,18,39.1,0,0,4,8.7,3.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2003,2.0,s,s,s,s,s,s,s,s,18.0,15,83.3,6,33.3,0,0,0,0,20.0,18,90,6,30,0,0,0,0,3.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X312,MILLENNIUM ART ACADEMY,2006,,,,,,,,,,38.0,24,63.2,18,47.4,1,2.6,1,2.6,67.0,38,56.7,25,37.3,3,4.5,8,11.9,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,1.0,s,s,s,s,s,s,s,s
08X312,MILLENNIUM ART ACADEMY,2002,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X320,PELHAM LAB HIGH SCHOOL,2017,12.0,s,s,s,s,s,s,s,s,35.0,22,62.9,22,62.9,2,5.7,4,11.4,71.0,53,74.6,53,74.6,11,15.5,9,12.7,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X320,PELHAM LAB HIGH SCHOOL,2016,9.0,7,77.8,6,66.7,0,0,1,11.1,28.0,24,85.7,22,78.6,4,14.3,2,7.1,54.0,34,63,28,51.9,2,3.7,6,11.1,11.0,8,72.7,8,72.7,0,0,2,18.2,3.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
08X320,PELHAM LAB HIGH SCHOOL,2015,5.0,s,s,s,s,s,s,s,s,17.0,10,58.8,5,29.4,1,5.9,5,29.4,71.0,49,69,34,47.9,3,4.2,10,14.1,11.0,5,45.5,4,36.4,0,0,1,9.1,3.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
08X320,PELHAM LAB HIGH SCHOOL,2014,10.0,s,s,s,s,s,s,s,s,21.0,15,71.4,14,66.7,1,4.8,3,14.3,63.0,38,60.3,32,50.8,4,6.3,9,14.3,11.0,5,45.5,5,45.5,0,0,0,0,3.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X320,PELHAM LAB HIGH SCHOOL,2013,12.0,8,66.7,8,66.7,1,8.3,2,16.7,31.0,22,71,21,67.7,6,19.4,1,3.2,56.0,34,60.7,29,51.8,3,5.4,7,12.5,10.0,s,s,s,s,s,s,s,s,4.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X320,PELHAM LAB HIGH SCHOOL,2012,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2014,1.0,s,s,s,s,s,s,s,s,14.0,11,78.6,5,35.7,0,0,1,7.1,15.0,11,73.3,8,53.3,0,0,0,0,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2013,1.0,s,s,s,s,s,s,s,s,18.0,11,61.1,9,50,0,0,1,5.6,10.0,4,40,3,30,0,0,5,50,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2010,3.0,s,s,s,s,s,s,s,s,23.0,13,56.5,11,47.8,0,0,3,13,39.0,12,30.8,11,28.2,0,0,7,17.9,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2009,1.0,s,s,s,s,s,s,s,s,41.0,19,46.3,17,41.5,0,0,8,19.5,42.0,19,45.2,17,40.5,0,0,6,14.3,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2008,1.0,s,s,s,s,s,s,s,s,33.0,16,48.5,15,45.5,0,0,8,24.2,50.0,23,46,22,44,0,0,10,20,2.0,s,s,s,s,s,s,s,s,3.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2007,2.0,s,s,s,s,s,s,s,s,43.0,21,48.8,16,37.2,0,0,6,14,57.0,32,56.1,27,47.4,2,3.5,10,17.5,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2006,1.0,s,s,s,s,s,s,s,s,34.0,19,55.9,12,35.3,0,0,6,17.6,52.0,31,59.6,23,44.2,0,0,7,13.5,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2016,,,,,,,,,,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2015,,,,,,,,,,2.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2012,,,,,,,,,,24.0,s,s,s,s,s,s,s,s,39.0,21,53.8,14,35.9,0,0,5,12.8,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2011,,,,,,,,,,30.0,s,s,s,s,s,s,s,s,42.0,24,57.1,21,50,0,0,8,19,,,,,,,,,,2.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2005,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2003,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,2017,6.0,5,83.3,5,83.3,0,0,1,16.7,27.0,21,77.8,20,74.1,1,3.7,2,7.4,65.0,54,83.1,54,83.1,3,4.6,5,7.7,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,1.0,s,s,s,s,s,s,s,s
08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,2016,12.0,10,83.3,10,83.3,1,8.3,1,8.3,38.0,26,68.4,23,60.5,0,0,4,10.5,52.0,36,69.2,31,59.6,0,0,11,21.2,9.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,2015,5.0,s,s,s,s,s,s,s,s,31.0,19,61.3,14,45.2,0,0,3,9.7,47.0,31,66,23,48.9,0,0,5,10.6,12.0,10,83.3,8,66.7,0,0,1,8.3,1.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s
08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,2014,5.0,s,s,s,s,s,s,s,s,25.0,21,84,17,68,0,0,0,0,62.0,46,74.2,37,59.7,0,0,1,1.6,6.0,5,83.3,3,50,0,0,1,16.7,,,,,,,,,,1.0,s,s,s,s,s,s,s,s
08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,2013,2.0,s,s,s,s,s,s,s,s,9.0,6,66.7,5,55.6,0,0,0,0,52.0,31,59.6,25,48.1,0,0,6,11.5,4.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,2012,,,,,,,,,,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X349,BRONX RIVER HIGH SCHOOL,2017,7.0,s,s,s,s,s,s,s,s,29.0,25,86.2,25,86.2,2,6.9,3,10.3,54.0,36,66.7,36,66.7,8,14.8,8,14.8,7.0,6,85.7,6,85.7,1,14.3,0,0,3.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X349,BRONX RIVER HIGH SCHOOL,2016,7.0,s,s,s,s,s,s,s,s,22.0,16,72.7,16,72.7,0,0,2,9.1,71.0,54,76.1,54,76.1,5,7,10,14.1,14.0,11,78.6,11,78.6,0,0,3,21.4,2.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X349,BRONX RIVER HIGH SCHOOL,2015,8.0,6,75,5,62.5,0,0,2,25,17.0,12,70.6,9,52.9,0,0,5,29.4,66.0,46,69.7,34,51.5,2,3,14,21.2,4.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X349,BRONX RIVER HIGH SCHOOL,2014,6.0,s,s,s,s,s,s,s,s,26.0,20,76.9,20,76.9,0,0,1,3.8,63.0,46,73,37,58.7,1,1.6,6,9.5,6.0,4,66.7,4,66.7,0,0,1,16.7,4.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X349,BRONX RIVER HIGH SCHOOL,2013,1.0,s,s,s,s,s,s,s,s,29.0,20,69,16,55.2,0,0,2,6.9,52.0,33,63.5,32,61.5,0,0,4,7.7,5.0,s,s,s,s,s,s,s,s,4.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X349,BRONX RIVER HIGH SCHOOL,2012,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",2017,9.0,9,100,9,100,0,0,0,0,19.0,7,36.8,7,36.8,0,0,2,10.5,48.0,33,68.8,33,68.8,0,0,7,14.6,2.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",2016,12.0,s,s,s,s,s,s,s,s,22.0,15,68.2,13,59.1,0,0,4,18.2,47.0,36,76.6,32,68.1,2,4.3,4,8.5,3.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",2015,8.0,s,s,s,s,s,s,s,s,20.0,11,55,7,35,0,0,6,30,62.0,38,61.3,32,51.6,1,1.6,11,17.7,4.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",2014,6.0,3,50,3,50,0,0,0,0,23.0,12,52.2,9,39.1,1,4.3,2,8.7,46.0,28,60.9,26,56.5,2,4.3,5,10.9,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",2013,4.0,s,s,s,s,s,s,s,s,36.0,22,61.1,20,55.6,1,2.8,1,2.8,54.0,28,51.9,21,38.9,0,0,3,5.6,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",2012,7.0,2,28.6,2,28.6,0,0,1,14.3,32.0,17,53.1,13,40.6,1,3.1,0,0,54.0,29,53.7,28,51.9,2,3.7,4,7.4,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",2011,6.0,s,s,s,s,s,s,s,s,30.0,12,40,10,33.3,0,0,3,10,47.0,28,59.6,24,51.1,0,0,4,8.5,3.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",2010,1.0,s,s,s,s,s,s,s,s,27.0,14,51.9,14,51.9,0,0,2,7.4,52.0,26,50,24,46.2,1,1.9,5,9.6,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",2009,,,,,,,,,,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,2017,5.0,s,s,s,s,s,s,s,s,16.0,14,87.5,14,87.5,0,0,2,12.5,34.0,28,82.4,28,82.4,1,2.9,2,5.9,3.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,2016,5.0,s,s,s,s,s,s,s,s,10.0,4,40,4,40,0,0,1,10,44.0,35,79.5,33,75,2,4.5,4,9.1,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,2015,3.0,s,s,s,s,s,s,s,s,18.0,10,55.6,8,44.4,0,0,4,22.2,39.0,28,71.8,23,59,3,7.7,3,7.7,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,2014,8.0,s,s,s,s,s,s,s,s,12.0,7,58.3,5,41.7,0,0,2,16.7,34.0,14,41.2,14,41.2,0,0,10,29.4,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,2013,4.0,s,s,s,s,s,s,s,s,14.0,11,78.6,9,64.3,0,0,1,7.1,35.0,19,54.3,17,48.6,0,0,6,17.1,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,2012,2.0,s,s,s,s,s,s,s,s,16.0,s,s,s,s,s,s,s,s,51.0,28,54.9,25,49,1,2,11,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,2011,2.0,s,s,s,s,s,s,s,s,15.0,s,s,s,s,s,s,s,s,51.0,30,58.8,27,52.9,3,5.9,4,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,2010,,,,,,,,,,16.0,s,s,s,s,s,s,s,s,34.0,18,52.9,16,47.1,0,0,5,14.7,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,2009,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2017,3.0,s,s,s,s,s,s,s,s,17.0,s,s,s,s,s,s,s,s,36.0,6,16.7,6,16.7,0,0,3,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2016,2.0,s,s,s,s,s,s,s,s,24.0,4,16.7,4,16.7,0,0,4,16.7,51.0,9,17.6,9,17.6,0,0,13,25.5,5.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2015,1.0,s,s,s,s,s,s,s,s,27.0,1,3.7,1,3.7,0,0,8,29.6,49.0,5,10.2,3,6.1,0,0,22,44.9,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2014,1.0,s,s,s,s,s,s,s,s,20.0,s,s,s,s,s,s,s,s,60.0,8,13.3,4,6.7,0,0,14,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2013,4.0,s,s,s,s,s,s,s,s,29.0,3,10.3,2,6.9,0,0,1,3.4,42.0,5,11.9,4,9.5,0,0,9,21.4,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2012,3.0,s,s,s,s,s,s,s,s,28.0,7,25,6,21.4,0,0,4,14.3,44.0,2,4.5,1,2.3,0,0,9,20.5,2.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,2010,4.0,s,s,s,s,s,s,s,s,30.0,2,6.7,2,6.7,0,0,1,3.3,55.0,5,9.1,4,7.3,0,0,16,29.1,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2009,1.0,s,s,s,s,s,s,s,s,37.0,1,2.7,1,2.7,0,0,8,21.6,49.0,4,8.2,4,8.2,0,0,12,24.5,5.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2008,1.0,s,s,s,s,s,s,s,s,33.0,5,15.2,4,12.1,0,0,12,36.4,62.0,4,6.5,4,6.5,1,1.6,16,25.8,2.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2007,2.0,s,s,s,s,s,s,s,s,30.0,6,20,5,16.7,0,0,6,20,73.0,9,12.3,2,2.7,0,0,22,30.1,,,,,,,,,,2.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2011,,,,,,,,,,33.0,s,s,s,s,s,s,s,s,41.0,6,14.6,5,12.2,0,0,10,24.4,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2006,,,,,,,,,,27.0,s,s,s,s,s,s,s,s,49.0,7,14.3,0,0,0,0,9,18.4,3.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2005,,,,,,,,,,32.0,0,0,0,0,0,0,6,18.8,66.0,5,7.6,2,3,0,0,7,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2004,,,,,,,,,,17.0,2,11.8,0,0,0,0,0,0,12.0,0,0,0,0,0,0,1,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2003,,,,,,,,,,9.0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,2002,,,,,,,,,,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2017,18.0,15,83.3,15,83.3,5,27.8,1,5.6,56.0,48,85.7,47,83.9,7,12.5,3,5.4,85.0,59,69.4,58,68.2,10,11.8,11,12.9,11.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2016,31.0,28,90.3,28,90.3,10,32.3,2,6.5,34.0,23,67.6,23,67.6,2,5.9,4,11.8,73.0,51,69.9,51,69.9,11,15.1,7,9.6,17.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2015,32.0,26,81.3,25,78.1,4,12.5,2,6.3,38.0,23,60.5,19,50,1,2.6,5,13.2,85.0,47,55.3,38,44.7,5,5.9,23,27.1,24.0,s,s,s,s,s,s,s,s,3.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2014,29.0,18,62.1,18,62.1,5,17.2,2,6.9,26.0,11,42.3,11,42.3,2,7.7,7,26.9,105.0,50,47.6,49,46.7,7,6.7,18,17.1,23.0,14,60.9,14,60.9,3,13,3,13,,,,,,,,,,,,,,,,,,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2013,24.0,22,91.7,21,87.5,6,25,1,4.2,53.0,34,64.2,32,60.4,8,15.1,7,13.2,116.0,56,48.3,50,43.1,7,6,27,23.3,40.0,20,50,19,47.5,3,7.5,9,22.5,7.0,s,s,s,s,s,s,s,s,3.0,s,s,s,s,s,s,s,s
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2012,34.0,27,79.4,26,76.5,6,17.6,2,5.9,83.0,33,39.8,28,33.7,1,1.2,28,33.7,196.0,76,38.8,70,35.7,9,4.6,54,27.6,33.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2011,46.0,28,60.9,27,58.7,7,15.2,3,6.5,131.0,47,35.9,45,34.4,3,2.3,27,20.6,363.0,102,28.1,89,24.5,5,1.4,91,25.1,74.0,33,44.6,29,39.2,6,8.1,22,29.7,6.0,4,66.7,4,66.7,0,0,0,0,,,,,,,,,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2010,65.0,s,s,s,s,s,s,s,s,169.0,81,47.9,76,45,17,10.1,32,18.9,472.0,210,44.5,187,39.6,25,5.3,101,21.4,79.0,44,55.7,42,53.2,11,13.9,18,22.8,3.0,s,s,s,s,s,s,s,s,,,,,,,,,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2009,66.0,48,72.7,46,69.7,16,24.2,5,7.6,206.0,90,43.7,85,41.3,12,5.8,42,20.4,554.0,241,43.5,227,41,45,8.1,123,22.2,76.0,41,53.9,40,52.6,9,11.8,15,19.7,6.0,4,66.7,4,66.7,1,16.7,1,16.7,,,,,,,,,
