DBN,School Name,Cohort Year,SWD # Total Cohort,SWD # Grads,SWD % Grads,SWD # Total Regents,SWD % Total Regents of Cohort,SWD # Advanced Regents,SWD % Advanced Regents of Cohort,SWD # Dropout,SWD % Dropout,Not SWD # Total Cohort,Not SWD # Grads,Not SWD % Grads,Not SWD # Total Regents,Not SWD % Total Regents of Cohort,Not SWD # Advanced Regents,Not SWD % Advanced Regents of Cohort,Not SWD # Dropout,Not SWD % Dropout
01M292,ORCHARD COLLEGIATE ACADEMY,2017,20.0,16,80.0,16,80.0,0,0.0,0,0.0,45.0,43,95.6,43,95.6,8,17.8,0,0.0
01M292,ORCHARD COLLEGIATE ACADEMY,2016,7.0,6,85.7,6,85.7,0,0.0,1,14.3,24.0,23,95.8,23,95.8,9,37.5,0,0.0
01M292,ORCHARD COLLEGIATE ACADEMY,2015,8.0,8,100.0,5,62.5,0,0.0,0,0.0,20.0,17,85.0,17,85.0,2,10.0,3,15.0
01M292,ORCHARD COLLEGIATE ACADEMY,2014,8.0,6,75.0,3,37.5,0,0.0,1,12.5,21.0,19,90.5,19,90.5,0,0.0,0,0.0
01M292,ORCHARD COLLEGIATE ACADEMY,2013,12.0,5,41.7,4,33.3,0,0.0,3,25.0,24.0,19,79.2,19,79.2,0,0.0,4,16.7
01M292,ORCHARD COLLEGIATE ACADEMY,2012,13.0,5,38.5,2,15.4,0,0.0,3,23.1,31.0,18,58.1,17,54.8,1,3.2,7,22.6
01M292,ORCHARD COLLEGIATE ACADEMY,2011,20.0,7,35.0,3,15.0,0,0.0,4,20.0,53.0,39,73.6,38,71.7,0,0.0,3,5.7
01M292,ORCHARD COLLEGIATE ACADEMY,2010,14.0,0,0.0,0,0.0,0,0.0,5,35.7,47.0,24,51.1,24,51.1,1,2.1,12,25.5
01M292,ORCHARD COLLEGIATE ACADEMY,2009,16.0,6,37.5,1,6.3,0,0.0,3,18.8,69.0,41,59.4,41,59.4,0,0.0,5,7.2
01M292,ORCHARD COLLEGIATE ACADEMY,2008,14.0,8,57.1,3,21.4,0,0.0,3,21.4,56.0,27,48.2,26,46.4,0,0.0,10,17.9
01M292,ORCHARD COLLEGIATE ACADEMY,2007,21.0,10,47.6,4,19.0,0,0.0,1,4.8,56.0,31,55.4,24,42.9,0,0.0,4,7.1
01M292,ORCHARD COLLEGIATE ACADEMY,2006,18.0,5,27.8,3,16.7,0,0.0,4,22.2,60.0,38,63.3,33,55.0,0,0.0,7,11.7
01M292,ORCHARD COLLEGIATE ACADEMY,2005,15.0,7,46.7,3,20.0,0,0.0,4,26.7,49.0,36,73.5,24,49.0,0,0.0,5,10.2
01M292,ORCHARD COLLEGIATE ACADEMY,2004,9.0,6,66.7,2,22.2,0,0.0,0,0.0,46.0,31,67.4,15,32.6,0,0.0,3,6.5
01M292,ORCHARD COLLEGIATE ACADEMY,2003,2.0,s,s,s,s,s,s,s,s,3.0,s,s,s,s,s,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2017,23.0,23,100.0,23,100.0,9,39.1,0,0.0,111.0,109,98.2,109,98.2,62,55.9,2,1.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2016,22.0,20,90.9,20,90.9,7,31.8,2,9.1,106.0,103,97.2,103,97.2,66,62.3,3,2.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2015,15.0,13,86.7,3,20.0,0,0.0,1,6.7,84.0,79,94.0,76,90.5,18,21.4,3,3.6
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2014,13.0,11,84.6,4,30.8,1,7.7,0,0.0,75.0,71,94.7,69,92.0,19,25.3,3,4.0
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2013,17.0,13,76.5,11,64.7,0,0.0,4,23.5,61.0,57,93.4,53,86.9,20,32.8,3,4.9
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2012,17.0,10,58.8,9,52.9,0,0.0,6,35.3,49.0,40,81.6,37,75.5,11,22.4,8,16.3
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2011,18.0,14,77.8,8,44.4,0,0.0,2,11.1,64.0,54,84.4,50,78.1,13,20.3,6,9.4
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,15.0,11,73.3,7,46.7,1,6.7,2,13.3,56.0,45,80.4,39,69.6,2,3.6,9,16.1
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,24.0,16,66.7,8,33.3,0,0.0,2,8.3,64.0,49,76.6,42,65.6,6,9.4,7,10.9
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,20.0,8,40.0,5,25.0,0,0.0,3,15.0,100.0,72,72.0,70,70.0,10,10.0,6,6.0
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,42.0,16,38.1,6,14.3,1,2.4,12,28.6,108.0,83,76.9,71,65.7,16,14.8,5,4.6
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,25.0,5,20.0,2,8.0,1,4.0,5,20.0,99.0,48,48.5,40,40.4,7,7.1,15,15.2
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,22.0,7,31.8,1,4.5,0,0.0,2,9.1,99.0,57,57.6,34,34.3,4,4.0,9,9.1
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,19.0,9,47.4,2,10.5,0,0.0,1,5.3,93.0,66,71.0,34,36.6,6,6.5,3,3.2
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,8.0,4,50.0,0,0.0,0,0.0,4,50.0,79.0,63,79.7,39,49.4,11,13.9,7,8.9
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,5.0,s,s,s,s,s,s,s,s,47.0,s,s,s,s,s,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,7.0,1,14.3,0,0.0,0,0.0,1,14.3,57.0,45,78.9,32,56.1,7,12.3,5,8.8
01M450,EAST SIDE COMMUNITY SCHOOL,2017,14.0,13,92.9,13,92.9,0,0.0,0,0.0,65.0,60,92.3,60,92.3,0,0.0,0,0.0
01M450,EAST SIDE COMMUNITY SCHOOL,2016,24.0,22,91.7,22,91.7,0,0.0,0,0.0,65.0,64,98.5,64,98.5,0,0.0,0,0.0
01M450,EAST SIDE COMMUNITY SCHOOL,2015,19.0,15,78.9,15,78.9,0,0.0,0,0.0,74.0,67,90.5,67,90.5,0,0.0,1,1.4
01M450,EAST SIDE COMMUNITY SCHOOL,2014,16.0,14,87.5,14,87.5,0,0.0,1,6.3,76.0,74,97.4,74,97.4,0,0.0,0,0.0
01M450,EAST SIDE COMMUNITY SCHOOL,2013,22.0,16,72.7,16,72.7,0,0.0,2,9.1,67.0,64,95.5,64,95.5,0,0.0,1,1.5
01M450,EAST SIDE COMMUNITY SCHOOL,2012,23.0,14,60.9,13,56.5,0,0.0,2,8.7,67.0,58,86.6,58,86.6,0,0.0,2,3.0
01M450,EAST SIDE COMMUNITY SCHOOL,2011,19.0,13,68.4,12,63.2,0,0.0,2,10.5,69.0,62,89.9,62,89.9,0,0.0,1,1.4
01M450,EAST SIDE COMMUNITY SCHOOL,2010,21.0,11,52.4,11,52.4,0,0.0,0,0.0,69.0,59,85.5,59,85.5,0,0.0,3,4.3
01M450,EAST SIDE COMMUNITY SCHOOL,2009,13.0,7,53.8,7,53.8,0,0.0,0,0.0,65.0,49,75.4,49,75.4,0,0.0,2,3.1
01M450,EAST SIDE COMMUNITY SCHOOL,2008,25.0,11,44.0,10,40.0,0,0.0,7,28.0,63.0,50,79.4,50,79.4,0,0.0,4,6.3
01M450,EAST SIDE COMMUNITY SCHOOL,2007,20.0,13,65.0,13,65.0,0,0.0,3,15.0,69.0,43,62.3,43,62.3,0,0.0,4,5.8
01M450,EAST SIDE COMMUNITY SCHOOL,2006,20.0,13,65.0,10,50.0,0,0.0,3,15.0,70.0,57,81.4,57,81.4,0,0.0,2,2.9
01M450,EAST SIDE COMMUNITY SCHOOL,2005,20.0,12,60.0,9,45.0,0,0.0,4,20.0,65.0,49,75.4,49,75.4,0,0.0,5,7.7
01M450,EAST SIDE COMMUNITY SCHOOL,2004,19.0,11,57.9,7,36.8,0,0.0,3,15.8,61.0,47,77.0,41,67.2,0,0.0,6,9.8
01M450,EAST SIDE COMMUNITY SCHOOL,2003,23.0,14,60.9,9,39.1,0,0.0,1,4.3,56.0,35,62.5,35,62.5,0,0.0,9,16.1
01M450,EAST SIDE COMMUNITY SCHOOL,2002,19.0,13,68.4,13,68.4,0,0.0,1,5.3,53.0,32,60.4,32,60.4,0,0.0,6,11.3
01M450,EAST SIDE COMMUNITY SCHOOL,2001,12.0,8,66.7,7,58.3,0,0.0,4,33.3,49.0,33,67.3,33,67.3,0,0.0,8,16.3
01M458,FORSYTH SATELLITE ACADEMY,2017,23.0,7,30.4,4,17.4,0,0.0,1,4.3,32.0,13,40.6,13,40.6,0,0.0,1,3.1
01M458,FORSYTH SATELLITE ACADEMY,2016,26.0,11,42.3,5,19.2,0,0.0,1,3.8,41.0,13,31.7,11,26.8,0,0.0,1,2.4
01M458,FORSYTH SATELLITE ACADEMY,2015,24.0,6,25.0,5,20.8,0,0.0,2,8.3,55.0,11,20.0,8,14.5,0,0.0,5,9.1
01M458,FORSYTH SATELLITE ACADEMY,2014,17.0,3,17.6,3,17.6,0,0.0,2,11.8,56.0,22,39.3,21,37.5,0,0.0,10,17.9
01M458,FORSYTH SATELLITE ACADEMY,2013,23.0,2,8.7,0,0.0,0,0.0,4,17.4,71.0,12,16.9,12,16.9,0,0.0,8,11.3
01M458,FORSYTH SATELLITE ACADEMY,2012,16.0,1,6.3,1,6.3,0,0.0,0,0.0,66.0,11,16.7,11,16.7,0,0.0,9,13.6
01M458,FORSYTH SATELLITE ACADEMY,2011,18.0,5,27.8,3,16.7,0,0.0,2,11.1,69.0,8,11.6,8,11.6,0,0.0,7,10.1
01M458,FORSYTH SATELLITE ACADEMY,2010,13.0,1,7.7,1,7.7,0,0.0,6,46.2,82.0,7,8.5,7,8.5,0,0.0,18,22.0
01M458,FORSYTH SATELLITE ACADEMY,2009,15.0,0,0.0,0,0.0,0,0.0,5,33.3,100.0,8,8.0,8,8.0,0,0.0,35,35.0
01M458,FORSYTH SATELLITE ACADEMY,2008,12.0,0,0.0,0,0.0,0,0.0,6,50.0,90.0,6,6.7,5,5.6,0,0.0,41,45.6
01M458,FORSYTH SATELLITE ACADEMY,2007,11.0,0,0.0,0,0.0,0,0.0,6,54.5,95.0,6,6.3,5,5.3,0,0.0,31,32.6
01M509,MARTA VALLE HIGH SCHOOL,2017,,,,,,,,,,6.0,3,50.0,3,50.0,0,0.0,3,50.0
01M509,MARTA VALLE HIGH SCHOOL,2016,5.0,s,s,s,s,s,s,s,s,20.0,s,s,s,s,s,s,s,s
01M509,MARTA VALLE HIGH SCHOOL,2015,6.0,3,50.0,0,0.0,0,0.0,0,0.0,32.0,30,93.8,25,78.1,1,3.1,2,6.3
01M509,MARTA VALLE HIGH SCHOOL,2014,17.0,6,35.3,2,11.8,0,0.0,7,41.2,25.0,21,84.0,11,44.0,1,4.0,1,4.0
01M509,MARTA VALLE HIGH SCHOOL,2013,18.0,9,50.0,1,5.6,0,0.0,1,5.6,41.0,30,73.2,27,65.9,2,4.9,3,7.3
01M509,MARTA VALLE HIGH SCHOOL,2012,19.0,3,15.8,2,10.5,0,0.0,4,21.1,55.0,40,72.7,40,72.7,8,14.5,4,7.3
01M509,MARTA VALLE HIGH SCHOOL,2011,34.0,7,20.6,2,5.9,0,0.0,8,23.5,68.0,38,55.9,36,52.9,5,7.4,10,14.7
01M509,MARTA VALLE HIGH SCHOOL,2010,13.0,1,7.7,0,0.0,0,0.0,4,30.8,46.0,25,54.3,25,54.3,2,4.3,5,10.9
01M509,MARTA VALLE HIGH SCHOOL,2009,14.0,4,28.6,0,0.0,0,0.0,1,7.1,58.0,21,36.2,21,36.2,4,6.9,9,15.5
01M509,MARTA VALLE HIGH SCHOOL,2008,20.0,9,45.0,6,30.0,1,5.0,3,15.0,62.0,35,56.5,35,56.5,15,24.2,11,17.7
01M509,MARTA VALLE HIGH SCHOOL,2007,16.0,6,37.5,3,18.8,0,0.0,3,18.8,79.0,41,51.9,31,39.2,8,10.1,12,15.2
01M509,MARTA VALLE HIGH SCHOOL,2006,13.0,4,30.8,2,15.4,0,0.0,1,7.7,71.0,43,60.6,38,53.5,17,23.9,4,5.6
01M509,MARTA VALLE HIGH SCHOOL,2005,17.0,10,58.8,4,23.5,1,5.9,2,11.8,71.0,39,54.9,34,47.9,17,23.9,12,16.9
01M509,MARTA VALLE HIGH SCHOOL,2004,16.0,6,37.5,1,6.3,0,0.0,3,18.8,49.0,23,46.9,12,24.5,3,6.1,5,10.2
01M509,MARTA VALLE HIGH SCHOOL,2003,10.0,1,10.0,0,0.0,0,0.0,5,50.0,60.0,30,50.0,22,36.7,0,0.0,13,21.7
01M509,MARTA VALLE HIGH SCHOOL,2002,10.0,0,0.0,0,0.0,0,0.0,3,30.0,45.0,22,48.9,11,24.4,4,8.9,8,17.8
01M509,MARTA VALLE HIGH SCHOOL,2001,13.0,4,30.8,0,0.0,0,0.0,3,23.1,56.0,30,53.6,6,10.7,0,0.0,7,12.5
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2017,17.0,5,29.4,5,29.4,0,0.0,1,5.9,141.0,51,36.2,51,36.2,14,9.9,24,17.0
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2016,27.0,9,33.3,5,18.5,0,0.0,3,11.1,257.0,106,41.2,106,41.2,47,18.3,56,21.8
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2015,9.0,4,44.4,0,0.0,0,0.0,0,0.0,232.0,102,44.0,101,43.5,46,19.8,51,22.0
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2014,14.0,2,14.3,1,7.1,0,0.0,0,0.0,212.0,82,38.7,82,38.7,37,17.5,55,25.9
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2013,15.0,2,13.3,1,6.7,0,0.0,2,13.3,217.0,81,37.3,81,37.3,43,19.8,62,28.6
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2012,12.0,2,16.7,2,16.7,0,0.0,1,8.3,236.0,82,34.7,82,34.7,53,22.5,76,32.2
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2011,13.0,4,30.8,2,15.4,0,0.0,2,15.4,251.0,101,40.2,101,40.2,57,22.7,73,29.1
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2010,5.0,s,s,s,s,s,s,s,s,288.0,s,s,s,s,s,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2009,2.0,s,s,s,s,s,s,s,s,221.0,s,s,s,s,s,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2008,7.0,1,14.3,1,14.3,0,0.0,1,14.3,176.0,79,44.9,78,44.3,56,31.8,49,27.8
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,,,,,,,,,,129.0,68,52.7,61,47.3,40,31.0,33,25.6
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,1.0,s,s,s,s,s,s,s,s,192.0,s,s,s,s,s,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,1.0,s,s,s,s,s,s,s,s,153.0,s,s,s,s,s,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,1.0,s,s,s,s,s,s,s,s,199.0,s,s,s,s,s,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,4.0,s,s,s,s,s,s,s,s,201.0,s,s,s,s,s,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,1.0,s,s,s,s,s,s,s,s,171.0,s,s,s,s,s,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,1.0,s,s,s,s,s,s,s,s,165.0,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2017,22.0,22,100.0,20,90.9,8,36.4,0,0.0,109.0,107,98.2,107,98.2,91,83.5,1,0.9
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2016,23.0,18,78.3,14,60.9,4,17.4,1,4.3,135.0,132,97.8,131,97.0,114,84.4,1,0.7
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2015,17.0,17,100.0,14,82.4,3,17.6,0,0.0,123.0,123,100.0,123,100.0,109,88.6,0,0.0
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2014,6.0,3,50.0,2,33.3,1,16.7,1,16.7,125.0,119,95.2,118,94.4,99,79.2,1,0.8
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2013,9.0,0,0.0,0,0.0,0,0.0,0,0.0,174.0,170,97.7,170,97.7,145,83.3,0,0.0
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2012,7.0,7,100.0,6,85.7,4,57.1,0,0.0,179.0,178,99.4,178,99.4,151,84.4,0,0.0
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2011,3.0,s,s,s,s,s,s,s,s,119.0,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2010,7.0,7,100.0,6,85.7,3,42.9,0,0.0,106.0,100,94.3,100,94.3,62,58.5,2,1.9
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2009,2.0,s,s,s,s,s,s,s,s,135.0,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2008,2.0,s,s,s,s,s,s,s,s,159.0,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2007,3.0,s,s,s,s,s,s,s,s,125.0,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2006,2.0,s,s,s,s,s,s,s,s,44.0,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2005,3.0,s,s,s,s,s,s,s,s,46.0,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2004,4.0,s,s,s,s,s,s,s,s,56.0,s,s,s,s,s,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2003,,,,,,,,,,58.0,58,100.0,57,98.3,49,84.5,0,0.0
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2002,,,,,,,,,,7.0,7,100.0,7,100.0,6,85.7,0,0.0
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2001,,,,,,,,,,17.0,16,94.1,16,94.1,12,70.6,1,5.9
01M650,CASCADES HIGH SCHOOL,2017,24.0,5,20.8,5,20.8,0,0.0,2,8.3,40.0,14,35.0,14,35.0,0,0.0,6,15.0
01M650,CASCADES HIGH SCHOOL,2016,31.0,8,25.8,3,9.7,0,0.0,3,9.7,68.0,27,39.7,26,38.2,0,0.0,6,8.8
01M650,CASCADES HIGH SCHOOL,2015,24.0,6,25.0,3,12.5,0,0.0,8,33.3,77.0,27,35.1,21,27.3,0,0.0,22,28.6
01M650,CASCADES HIGH SCHOOL,2014,10.0,4,40.0,1,10.0,0,0.0,2,20.0,93.0,25,26.9,25,26.9,0,0.0,20,21.5
01M650,CASCADES HIGH SCHOOL,2013,18.0,4,22.2,1,5.6,0,0.0,1,5.6,92.0,22,23.9,21,22.8,1,1.1,15,16.3
01M650,CASCADES HIGH SCHOOL,2012,9.0,1,11.1,1,11.1,0,0.0,2,22.2,103.0,31,30.1,31,30.1,0,0.0,16,15.5
01M650,CASCADES HIGH SCHOOL,2011,5.0,s,s,s,s,s,s,s,s,104.0,s,s,s,s,s,s,s,s
01M650,CASCADES HIGH SCHOOL,2010,8.0,3,37.5,1,12.5,0,0.0,2,25.0,128.0,40,31.3,39,30.5,0,0.0,15,11.7
01M650,CASCADES HIGH SCHOOL,2009,10.0,5,50.0,4,40.0,0,0.0,1,10.0,120.0,44,36.7,44,36.7,0,0.0,14,11.7
01M650,CASCADES HIGH SCHOOL,2008,5.0,s,s,s,s,s,s,s,s,117.0,s,s,s,s,s,s,s,s
01M650,CASCADES HIGH SCHOOL,2007,8.0,0,0.0,0,0.0,0,0.0,2,25.0,110.0,45,40.9,29,26.4,0,0.0,16,14.5
01M650,CASCADES HIGH SCHOOL,2006,2.0,s,s,s,s,s,s,s,s,87.0,s,s,s,s,s,s,s,s
01M650,CASCADES HIGH SCHOOL,2005,8.0,2,25.0,0,0.0,0,0.0,0,0.0,87.0,29,33.3,17,19.5,0,0.0,7,8.0
01M650,CASCADES HIGH SCHOOL,2004,5.0,s,s,s,s,s,s,s,s,62.0,s,s,s,s,s,s,s,s
01M650,CASCADES HIGH SCHOOL,2003,8.0,3,37.5,0,0.0,0,0.0,0,0.0,85.0,24,28.2,7,8.2,0,0.0,4,4.7
01M650,CASCADES HIGH SCHOOL,2002,2.0,s,s,s,s,s,s,s,s,90.0,s,s,s,s,s,s,s,s
01M650,CASCADES HIGH SCHOOL,2001,5.0,s,s,s,s,s,s,s,s,81.0,s,s,s,s,s,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2017,14.0,10,71.4,10,71.4,0,0.0,0,0.0,147.0,141,95.9,141,95.9,1,0.7,0,0.0
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2016,8.0,7,87.5,7,87.5,0,0.0,0,0.0,115.0,111,96.5,111,96.5,0,0.0,0,0.0
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2015,2.0,s,s,s,s,s,s,s,s,148.0,s,s,s,s,s,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2014,3.0,s,s,s,s,s,s,s,s,132.0,s,s,s,s,s,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2013,1.0,s,s,s,s,s,s,s,s,112.0,s,s,s,s,s,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2012,1.0,s,s,s,s,s,s,s,s,130.0,s,s,s,s,s,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2011,1.0,s,s,s,s,s,s,s,s,153.0,s,s,s,s,s,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2010,1.0,s,s,s,s,s,s,s,s,142.0,s,s,s,s,s,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2009,1.0,s,s,s,s,s,s,s,s,122.0,s,s,s,s,s,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2008,3.0,s,s,s,s,s,s,s,s,143.0,s,s,s,s,s,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2007,,,,,,,,,,125.0,122,97.6,122,97.6,0,0.0,1,0.8
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,,,,,,,,,,139.0,134,96.4,134,96.4,0,0.0,1,0.7
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2005,,,,,,,,,,115.0,107,93.0,107,93.0,0,0.0,1,0.9
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2004,,,,,,,,,,117.0,108,92.3,108,92.3,0,0.0,1,0.9
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2003,,,,,,,,,,126.0,123,97.6,123,97.6,0,0.0,1,0.8
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2002,,,,,,,,,,110.0,104,94.5,103,93.6,0,0.0,0,0.0
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2001,,,,,,,,,,119.0,112,94.1,110,92.4,0,0.0,2,1.7
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2017,12.0,11,91.7,11,91.7,6,50.0,0,0.0,19.0,18,94.7,18,94.7,14,73.7,1,5.3
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2016,12.0,12,100.0,7,58.3,2,16.7,0,0.0,36.0,36,100.0,36,100.0,13,36.1,0,0.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2015,10.0,8,80.0,2,20.0,0,0.0,2,20.0,30.0,29,96.7,27,90.0,6,20.0,1,3.3
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2014,9.0,7,77.8,4,44.4,0,0.0,0,0.0,26.0,23,88.5,23,88.5,7,26.9,2,7.7
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2013,6.0,4,66.7,0,0.0,0,0.0,0,0.0,29.0,28,96.6,28,96.6,4,13.8,1,3.4
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2012,14.0,9,64.3,4,28.6,0,0.0,0,0.0,44.0,39,88.6,39,88.6,8,18.2,1,2.3
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2011,13.0,4,30.8,2,15.4,0,0.0,0,0.0,16.0,11,68.8,11,68.8,2,12.5,1,6.3
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2010,19.0,12,63.2,3,15.8,0,0.0,2,10.5,22.0,17,77.3,17,77.3,0,0.0,1,4.5
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2009,20.0,11,55.0,8,40.0,1,5.0,0,0.0,24.0,18,75.0,18,75.0,2,8.3,2,8.3
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2008,13.0,3,23.1,2,15.4,0,0.0,1,7.7,23.0,12,52.2,12,52.2,0,0.0,3,13.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2007,3.0,s,s,s,s,s,s,s,s,20.0,s,s,s,s,s,s,s,s
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2006,7.0,3,42.9,0,0.0,0,0.0,0,0.0,18.0,16,88.9,8,44.4,0,0.0,1,5.6
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2005,9.0,1,11.1,0,0.0,0,0.0,1,11.1,15.0,8,53.3,4,26.7,0,0.0,2,13.3
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2004,7.0,1,14.3,1,14.3,0,0.0,0,0.0,7.0,4,57.1,4,57.1,2,28.6,0,0.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2003,9.0,0,0.0,0,0.0,0,0.0,0,0.0,8.0,5,62.5,4,50.0,0,0.0,1,12.5
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2002,13.0,s,s,s,s,s,s,s,s,5.0,s,s,s,s,s,s,s,s
