Index,School / Cohort,Class,% Grads,% Total Regents of Cohort,% Advanced Regents of Cohort,% Dropout,PC 1,PC 2,PC 3
02M630-2002,ART AND DESIGN HIGH SCHOOL - 2002,1,63.7,38.4,7.3,3.3,0.185640621,-0.490503291,-0.792672826
02M630-2001,ART AND DESIGN HIGH SCHOOL - 2001,1,70.7,32.5,9.3,3.9,0.136658582,-0.413429464,-0.750640208
02M655-2017,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2017,1,83.6,83.6,0,3.7,-1.015379961,-1.047285847,0.406245693
02M655-2016,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2016,1,78.8,78,1.5,6.8,-0.668459012,-0.781235827,0.460822811
02M655-2015,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2015,1,70.1,59.8,1,5.2,-0.172261824,-0.766133841,-0.101539574
02M655-2014,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2014,1,72.3,58,1.7,5,-0.209578349,-0.758188232,-0.119277248
02M655-2013,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2013,1,48.4,41.3,2.4,5.6,0.68618273,-0.475982991,-0.753203774
02M655-2012,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2012,1,62,60.5,6.2,10.1,0.13741265,-0.250024758,0.093574556
02M655-2011,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2011,1,80.4,77.8,15,7.8,-0.920973735,-0.180389115,0.382394563
02M655-2010,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2010,1,72.4,64.1,9.7,7.6,-0.365916912,-0.314184183,0.080734707
02M655-2009,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2009,1,62.3,59.2,6.2,9.2,0.112063354,-0.292942727,0.005938039
02M655-2008,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2008,1,66.1,61.9,9.3,16.1,0.253554436,0.139982012,0.620077833
02M655-2007,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2007,1,72.6,58.4,8.8,9.7,-0.132056687,-0.234294062,0.170251535
02M655-2006,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2006,1,79.7,60.2,2.5,5.9,-0.392860547,-0.74161637,0.101250561
02M655-2005,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2005,1,84.7,53.2,1.8,5.4,-0.375095397,-0.813350295,0.040766435
02M655-2004,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2004,1,83.1,53.8,15.4,8.5,-0.468567396,-0.08347634,0.087249251
02M655-2003,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2003,1,76.2,40,6.7,6.7,0.05182037,-0.445649083,-0.279036028
02M655-2002,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2002,1,76.5,37.5,5.9,5.1,0.031883117,-0.553058685,-0.431066325
02M655-2001,THE HIGH SCHOOL FOR CLIMATE JUSTICE - 2001,1,70.6,36.1,6.7,11.8,0.51222522,-0.142528673,-0.031136267
02M690-2006,SCHOOL FOR THE PHYSICAL CITY - 2006,2,50,19.6,0,21.7,1.941450136,0.263294828,0.231797807
02M690-2005,SCHOOL FOR THE PHYSICAL CITY - 2005,2,37.1,8.1,0,6.5,1.708193068,-0.356683441,-1.379101471
02M690-2004,SCHOOL FOR THE PHYSICAL CITY - 2004,2,37.5,15.6,0,26.6,2.550154152,0.608147642,0.346587884
02M690-2003,SCHOOL FOR THE PHYSICAL CITY - 2003,2,34.1,19.5,0,26.8,2.55805301,0.6325515,0.36899414
02M690-2002,SCHOOL FOR THE PHYSICAL CITY - 2002,2,45.2,29,0,32.3,2.388545848,0.79441522,1.14653419
02M690-2001,SCHOOL FOR THE PHYSICAL CITY - 2001,2,48.9,21.3,0,25.5,2.121529537,0.453665607,0.542944103
03M283-2011,MANHATTAN THEATRE LAB HS - 2011,2,49.2,36.9,0,20,1.523954389,0.138157816,0.364901633
03M283-2010,MANHATTAN THEATRE LAB HS - 2010,2,38.6,38.6,1.8,19.3,1.658559712,0.252936149,0.13518929
03M283-2009,MANHATTAN THEATRE LAB HS - 2009,2,47.1,41.2,1.5,20.6,1.484239023,0.234026879,0.427217504
03M283-2008,MANHATTAN THEATRE LAB HS - 2008,2,43.2,41.9,0,12.2,1.169188212,-0.214520071,-0.273935859
03M283-2007,MANHATTAN THEATRE LAB HS - 2007,2,27.5,16.5,0,18.7,2.36411,0.291541783,-0.433934731
03M283-2006,MANHATTAN THEATRE LAB HS - 2006,2,55.4,23,0,8.1,1.071520574,-0.454943105,-0.702905113
03M283-2005,MANHATTAN THEATRE LAB HS - 2005,1,91.7,37.5,0,2.1,-0.34393423,-1.059632089,-0.33548464
03M283-2004,MANHATTAN THEATRE LAB HS - 2004,2,50,14.3,1.8,16.1,1.733412769,0.077539493,-0.323566581
03M299-2017,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2017,1,72.5,72.5,1.1,8.8,-0.306459003,-0.637640402,0.430039059
03M299-2016,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2016,1,65.7,55.9,2,12.7,0.360722502,-0.312211891,0.343701375
03M299-2015,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2015,1,71.8,63.6,0.9,10,-0.04626201,-0.557338753,0.371485338
03M299-2014,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2014,1,57.1,51.6,3.3,12.1,0.586692292,-0.211766089,0.064504502
03M299-2013,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2013,1,67,63.2,1.9,10.4,0.070489806,-0.459184379,0.302903564
03M299-2012,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2012,1,64.4,59.4,0,16.8,0.56384166,-0.193953323,0.731505903
03M299-2011,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2011,1,74,70.8,0,7.3,-0.358795483,-0.763760606,0.323108871
03M299-2010,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2010,1,66.3,53.7,0,13.7,0.481683188,-0.344869429,0.424273168
03M299-2009,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2009,1,62.3,52.6,0.9,9.6,0.371941617,-0.476192847,0.00152473
03M299-2008,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2008,1,56.1,53.7,1.2,9.8,0.494014535,-0.41077705,-0.072579576
03M299-2007,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2007,2,48.3,32.2,1.1,19.5,1.59265984,0.179038363,0.218821542
03M299-2006,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2006,1,61.8,55.1,1.1,7.9,0.243732496,-0.554592855,-0.103913152
03M299-2005,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY - 2005,2,45.5,37.4,0,11.1,1.153450323,-0.273356198,-0.396039198
03M307-2017,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2017",1,86.7,86.7,0,2,-1.233274124,-1.162435249,0.373570052
03M307-2016,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2016",1,92.4,92.4,0,0,-1.57773496,-1.318801458,0.402933009
03M307-2015,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2015",1,81.5,64.8,0,9.3,-0.3071698,-0.704695966,0.509996424
03M307-2014,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2014",1,75.5,60.4,0,13.2,0.112545242,-0.456238051,0.647718788
03M307-2013,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2013",1,77.1,59.4,0,14.6,0.166455573,-0.396543758,0.769475485
03M307-2012,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2012",1,70.2,58.5,0,13.8,0.30103254,-0.382119591,0.575675996
03M307-2011,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2011",1,72.9,61.5,0,14.6,0.218986365,-0.371086661,0.733293791
03M307-2010,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2010",1,65.8,52.1,0,16.4,0.660190588,-0.203991467,0.604367634
03M307-2009,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2009",2,50,40.7,2.3,18.6,1.312881444,0.148858152,0.298013199
03M307-2008,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2008",1,64.6,54.9,2.4,12.2,0.372948626,-0.30919465,0.263897969
03M307-2007,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2007",1,71.6,50.5,2.1,13.7,0.384508396,-0.287903542,0.432757596
03M307-2006,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2006",2,60,43,0,19,1.105797071,-0.008044618,0.565661485
03M307-2005,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2005",1,67.4,33.7,0,6.5,0.502976661,-0.652197277,-0.454843518
03M307-2004,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE - 2004",1,59.5,41.8,0,6.3,0.507658477,-0.625540218,-0.47124536
03M402-2017,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS - 2017,0,94.7,94.7,25.3,4,-1.983288319,-0.090380286,0.45668735
03M402-2016,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS - 2016,1,92.8,87,8.7,4.3,-1.436868104,-0.732671061,0.546456398
03M402-2015,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS - 2015,1,73.5,47,3.6,12,0.29758282,-0.313457886,0.252401184
03M402-2014,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS - 2014,1,75.3,48.2,0,4.7,-0.059751057,-0.839238984,-0.229509516
03M402-2013,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS - 2013,1,79.3,58.6,0,10.3,-0.081734451,-0.622149003,0.451680642
03M402-2012,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS - 2012,2,56.8,44.3,0,20.5,1.226760678,0.085935375,0.65238499
03M402-2011,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS - 2011,1,64.1,47.4,0,12.8,0.614326801,-0.355478067,0.213377094
03M402-2010,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS - 2010,2,38.8,23.9,0,23.9,2.217681765,0.442931154,0.288942309
03M402-2009,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS - 2009,2,32.7,26.5,0,10.2,1.619403384,-0.192540394,-0.859379944
03M403-2017,THE GLOBAL LEARNING COLLABORATIVE - 2017,0,88.5,88.5,34.5,3.5,-1.926294297,0.331827228,0.088549877
03M403-2016,THE GLOBAL LEARNING COLLABORATIVE - 2016,1,77.3,76.3,23.7,4.1,-1.179163758,0.027663863,-0.104831232
03M403-2015,THE GLOBAL LEARNING COLLABORATIVE - 2015,1,71.7,63.6,5.1,8.1,-0.222892206,-0.474864351,0.162413732
03M403-2014,THE GLOBAL LEARNING COLLABORATIVE - 2014,1,75.5,66,3.8,10.4,-0.216801946,-0.45081744,0.465337754
03M403-2013,THE GLOBAL LEARNING COLLABORATIVE - 2013,1,69.5,54.3,7.6,4.8,-0.199237458,-0.490992358,-0.321583828
03M403-2012,THE GLOBAL LEARNING COLLABORATIVE - 2012,1,79,72,13,8,-0.721653023,-0.227636181,0.307309929
03M403-2011,THE GLOBAL LEARNING COLLABORATIVE - 2011,1,74.4,64.3,8.5,10.9,-0.226554949,-0.217373323,0.395802671
03M403-2010,THE GLOBAL LEARNING COLLABORATIVE - 2010,1,66.3,59.8,5.4,10.9,0.110169311,-0.274093273,0.228527626
03M403-2009,THE GLOBAL LEARNING COLLABORATIVE - 2009,2,49.4,44.9,1.1,18,1.2353883,0.062239071,0.324776903
03M404-2017,INNOVATION DIPLOMA PLUS - 2017,2,13.7,11.8,0,3.9,2.033319321,-0.320742696,-1.917457308
03M404-2016,INNOVATION DIPLOMA PLUS - 2016,2,8.5,8.5,0,5.6,2.302823797,-0.189433486,-1.92321708
03M404-2015,INNOVATION DIPLOMA PLUS - 2015,2,10.4,10.4,0,8.3,2.356016716,-0.076003972,-1.64595179
03M404-2014,INNOVATION DIPLOMA PLUS - 2014,2,15.7,13.7,0,2.9,1.899599543,-0.389999384,-1.932477339
03M404-2013,INNOVATION DIPLOMA PLUS - 2013,2,9.2,9.2,0,9.2,2.452436613,-0.019533138,-1.61408167
03M404-2012,INNOVATION DIPLOMA PLUS - 2012,2,13,11.6,0,7.2,2.217912421,-0.152716758,-1.670258149
03M404-2011,INNOVATION DIPLOMA PLUS - 2011,2,3.2,3.2,0,3.2,2.410534534,-0.253503213,-2.288943505
03M404-2010,INNOVATION DIPLOMA PLUS - 2010,2,13.1,11.9,0,8.3,2.264460513,-0.100192521,-1.576306517
03M404-2009,INNOVATION DIPLOMA PLUS - 2009,2,8.2,8.2,0,11.8,2.62511061,0.118497305,-1.44054295
03M404-2008,INNOVATION DIPLOMA PLUS - 2008,2,10.6,10.6,0,25.5,3.20579693,0.767748571,-0.272826738
03M404-2007,INNOVATION DIPLOMA PLUS - 2007,2,22.1,18.3,0,10.7,2.050658646,-0.066647057,-1.130692566
03M404-2006,INNOVATION DIPLOMA PLUS - 2006,2,28.2,20.5,0,5.1,1.588447778,-0.393404682,-1.437609082
03M415-2017,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2017,0,100,100,43.5,0,-2.774717199,0.418009088,0.069352379
03M415-2016,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2016,0,95.2,95.2,31,4.8,-2.078927329,0.181588019,0.460158411
03M415-2015,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2015,1,85.1,66,2.1,4.3,-0.704586242,-0.893039482,0.164370434
03M415-2014,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2014,1,81.8,65.9,0,13.6,-0.121675801,-0.498498518,0.874555252
03M415-2013,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2013,1,72.5,63.8,0,10,-0.048152749,-0.600625884,0.398562292
03M415-2012,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2012,1,67,60.2,1.1,11.4,0.197236876,-0.435139643,0.344276574
03M415-2011,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2011,1,56.6,51.3,0.9,6.2,0.357701832,-0.597442855,-0.38524889
03M415-2010,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2010,2,46.2,43,3.2,17.2,1.2644159,0.139484057,0.148464254
03M415-2009,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2009,2,39.6,37.4,2.2,9.9,1.183132195,-0.196754681,-0.619783314
03M415-2008,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2008,2,41,38.6,1.2,19.3,1.616221768,0.210072208,0.183458703
03M415-2007,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2007,1,59.8,50.8,5.7,13.1,0.543632561,-0.080375308,0.143911073
03M415-2006,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2006,1,55.9,47.2,15,1.6,-0.055130837,-0.219142975,-1.018659648
03M415-2005,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2005,1,70.3,52.3,10.9,0.8,-0.442480713,-0.550517665,-0.702876901
03M415-2004,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2004,1,61,37.1,4.4,1.3,0.231383876,-0.68615581,-0.978987594
03M415-2003,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2003,1,63,45.5,7.1,5.8,0.186299073,-0.390195905,-0.487532647
03M415-2002,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2002,1,65.9,52,1.6,12.2,0.418324305,-0.344261986,0.249228011
03M415-2001,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS - 2001,2,60,41,2.9,14.3,0.853743799,-0.112726579,0.120727821
03M417-2017,FRANK MCCOURT HIGH SCHOOL - 2017,1,97.1,97.1,1.9,0,-1.817498852,-1.287401907,0.532631382
03M417-2016,FRANK MCCOURT HIGH SCHOOL - 2016,1,91.1,91.1,1,2,-1.44214549,-1.165516609,0.505455037
03M417-2015,FRANK MCCOURT HIGH SCHOOL - 2015,1,92.6,86.3,3.2,0,-1.522638274,-1.170087555,0.263997357
03M417-2014,FRANK MCCOURT HIGH SCHOOL - 2014,1,93.6,90.4,4.3,0,-1.650434643,-1.14290027,0.332697197
03M417-2013,FRANK MCCOURT HIGH SCHOOL - 2013,1,95.4,87.4,12.6,1.1,-1.741621976,-0.747803068,0.289875089
03M417-2012,FRANK MCCOURT HIGH SCHOOL - 2012,1,89.6,85.7,5.2,0,-1.482572723,-1.062729336,0.1770965
03M417-2011,FRANK MCCOURT HIGH SCHOOL - 2011,1,90.2,84.3,6.9,2,-1.401994292,-0.894100527,0.300413472
03M417-2010,FRANK MCCOURT HIGH SCHOOL - 2010,1,91.8,89,8.2,0,-1.659356811,-0.963026946,0.227344814
03M470-2008,LOUIS D BRANDEIS HS - 2008,2,38.9,36.2,7.5,33.8,2.30994724,1.208031926,1.176559059
03M470-2007,LOUIS D BRANDEIS HS - 2007,2,32.1,21.2,4,31,2.698403338,1.016102245,0.643086858
03M470-2006,LOUIS D BRANDEIS HS - 2006,2,35.5,21.5,4.2,23,2.212083671,0.604955208,0.066649888
03M470-2005,LOUIS D BRANDEIS HS - 2005,2,35.3,20.7,5.5,18.1,1.962276079,0.421903183,-0.356490921
03M470-2004,LOUIS D BRANDEIS HS - 2004,2,32.4,18.3,3,25.7,2.50593188,0.719506811,0.193273519
03M470-2003,LOUIS D BRANDEIS HS - 2003,2,38.1,24.6,5.5,25.8,2.204060918,0.769021025,0.365646957
03M470-2002,LOUIS D BRANDEIS HS - 2002,2,43.5,29,5.4,21,1.755020429,0.476596472,0.147713057
03M470-2001,LOUIS D BRANDEIS HS - 2001,2,35.3,22,5.3,28.2,2.443960552,0.906648418,0.469788134
03M479-2017,BEACON HIGH SCHOOL - 2017,1,96.3,96.3,0,0.8,-1.705203831,-1.319159496,0.595301911
03M479-2016,BEACON HIGH SCHOOL - 2016,1,96.8,96.8,0,0.6,-1.736645429,-1.334083606,0.595926235
03M479-2015,BEACON HIGH SCHOOL - 2015,1,98,98,0,0.3,-1.803122379,-1.361050198,0.611725397
03M479-2014,BEACON HIGH SCHOOL - 2014,1,97.5,97.5,0,0,-1.796633236,-1.370712957,0.571376672
03M479-2013,BEACON HIGH SCHOOL - 2013,1,99.6,99.6,0,0,-1.886767821,-1.392088279,0.640735827
03M479-2012,BEACON HIGH SCHOOL - 2012,1,98.3,98.3,0,0,-1.830970221,-1.378855937,0.597799207
03M479-2011,BEACON HIGH SCHOOL - 2011,1,99.3,99.3,0,0,-1.873891452,-1.389034662,0.630827376
03M479-2010,BEACON HIGH SCHOOL - 2010,1,98,98,0,0,-1.818093852,-1.375802319,0.587890756
03M479-2009,BEACON HIGH SCHOOL - 2009,1,97.3,97.3,0,0,-1.78804899,-1.368677212,0.564771038
03M479-2008,BEACON HIGH SCHOOL - 2008,1,96.8,96.8,0,0.7,-1.731654938,-1.329166233,0.603871116
03M479-2007,BEACON HIGH SCHOOL - 2007,1,97.5,88,0,1.1,-1.549116473,-1.290544273,0.504151647
03M479-2006,BEACON HIGH SCHOOL - 2006,1,96.3,91.8,0,0,-1.653886062,-1.346145952,0.458502428
03M479-2005,BEACON HIGH SCHOOL - 2005,1,95.1,80.9,0,0.4,-1.385742073,-1.287635413,0.292774308
03M479-2004,BEACON HIGH SCHOOL - 2004,1,85.5,74.4,0,1.8,-0.966686775,-1.129585942,0.137386735
03M479-2003,BEACON HIGH SCHOOL - 2003,1,87,60.9,0,2.2,-0.706967665,-1.084009421,-0.025426292
03M479-2002,BEACON HIGH SCHOOL - 2002,1,87,69.6,0,3,-0.843444352,-1.068551997,0.179730936
03M479-2001,BEACON HIGH SCHOOL - 2001,1,89.4,87.6,0,2.7,-1.27773133,-1.150555177,0.489064095
03M485-2017,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2017,0,97.9,97.9,89.7,0.3,-3.594440496,2.380908973,-0.59705204
03M485-2016,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2016,0,99.4,99.4,92.5,0.5,-3.704891624,2.492249721,-0.56924911
03M485-2015,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2015,0,98.6,98.5,80.2,0.1,-3.442268208,1.968025823,-0.463779537
03M485-2014,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2014,0,97.2,97.2,76.5,0.7,-3.280196712,1.857197164,-0.410997978
03M485-2013,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2013,0,96.1,96,61,0.5,-2.9306585,1.212405532,-0.256542426
03M485-2012,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2012,0,97,97,67.3,0.3,-3.107409277,1.455877127,-0.325744711
03M485-2011,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2011,0,97.4,97.4,71,0.2,-3.203634681,1.601196879,-0.370202472
03M485-2010,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2010,0,97.3,97.3,69,0,-3.169287637,1.508969941,-0.362517131
03M485-2009,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2009,0,95.6,95.6,68,0,-3.076303593,1.484568743,-0.40522606
03M485-2008,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2008,0,99.1,99.1,72.7,0.4,-3.300650308,1.664626347,-0.321011054
03M485-2007,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2007,0,97.5,97,77.9,0.5,-3.320941229,1.904068347,-0.443931657
03M485-2006,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2006,0,97.1,96.1,50.2,0.9,-2.719175552,0.773952471,-0.061242067
03M485-2005,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2005,0,96.3,95,63.2,0.5,-2.95895112,1.305414864,-0.299033286
03M485-2004,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2004,0,95.4,94.3,62.7,0.3,-2.924349205,1.283339452,-0.334673789
03M485-2003,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2003,0,97,94,81.7,0.2,-3.33983047,2.059747226,-0.576037561
03M485-2002,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2002,0,94.1,93.1,40.9,0.2,-2.439178349,0.38221024,-0.090958418
03M485-2001,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS - 2001,0,87.7,82.3,41,0.7,-2.052317708,0.488189487,-0.33557107
03M490-2001,MARTIN LUTHER KING JR ACADEMY - 2001,2,70.5,0,0,24.2,1.999392086,0.287640112,0.454843578
03M492-2017,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2017",1,73.5,72.3,16.9,6,-0.781066496,-0.12327209,0.008744242
03M492-2016,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2016",1,89.6,89.6,17,6.6,-1.468488279,-0.256768829,0.606353935
03M492-2015,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2015",1,72.5,60.6,13.8,14.7,-0.024964414,0.214804138,0.534431943
03M492-2014,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2014",1,71.8,65,10.3,12.8,-0.12308331,-0.031468005,0.490401688
03M492-2013,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2013",1,69.7,63.3,4.6,11.9,0.028128805,-0.293165726,0.432650937
03M492-2012,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2012",1,78.3,71.7,4.7,10.4,-0.413797753,-0.449743865,0.59292096
03M492-2011,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2011",1,69.6,67,4.5,13.4,0.032231545,-0.23298878,0.611712704
03M492-2010,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2010",1,67.8,60.9,3.5,13.9,0.241646677,-0.219981704,0.535440051
03M492-2009,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2009",1,68.3,65,13,7.3,-0.372350243,-0.163301966,-0.041485725
03M492-2008,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2008",1,68,63.1,9.7,9.7,-0.141201357,-0.175465969,0.157590472
03M492-2007,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2007",1,69.6,64.7,23.5,10.8,-0.431227654,0.437868613,0.112371592
03M492-2006,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2006",1,75.7,61.7,15,9.3,-0.413240952,-0.027495413,0.160792923
03M492-2005,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2005",1,72.4,52,3.1,7.1,-0.013412102,-0.580809665,-0.067227972
03M492-2004,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2004",2,57.5,34.9,4.7,19.8,1.272484928,0.268126875,0.392343339
03M492-2003,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2003",2,49.6,26.5,1.8,14.2,1.400285178,-0.046406214,-0.282657342
03M492-2002,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE - 2002",2,60.4,32.4,0,15.3,1.127015671,-0.163863853,0.105879992
03M494-2017,HIGH SCHOOL OF ARTS AND TECHNOLOGY - 2017,1,82.8,82.8,10.1,7.1,-1.01354759,-0.450731344,0.514215604
03M494-2016,HIGH SCHOOL OF ARTS AND TECHNOLOGY - 2016,1,77.5,77.5,8.1,10.8,-0.561380996,-0.298251334,0.660004798
03M494-2015,HIGH SCHOOL OF ARTS AND TECHNOLOGY - 2015,1,63.8,52.6,4.3,15.5,0.564351607,-0.055421265,0.449708983
03M494-2014,HIGH SCHOOL OF ARTS AND TECHNOLOGY - 2014,2,52.1,40.5,2.5,11.6,0.916043541,-0.202078811,-0.228891064
03M494-2013,HIGH SCHOOL OF ARTS AND TECHNOLOGY - 2013,1,70.2,51.1,0.8,8.4,0.165573565,-0.593980693,0.015461455
03M494-2012,HIGH SCHOOL OF ARTS AND TECHNOLOGY - 2012,1,62,45,0.8,15.5,0.829273062,-0.167146125,0.342895844
03M494-2011,HIGH SCHOOL OF ARTS AND TECHNOLOGY - 2011,1,63.6,49.7,2,11.3,0.464121536,-0.34842527,0.096383716
03M494-2010,HIGH SCHOOL OF ARTS AND TECHNOLOGY - 2010,1,59.9,51.8,3.6,13.1,0.563129796,-0.171444253,0.190083792
