Index,School / Cohort,Class,% Grads,% Total Regents of Cohort,% Advanced Regents of Cohort,% Dropout,PC 1,PC 2,PC 3
01M450-2005,EAST SIDE COMMUNITY SCHOOL - 2005,1,71.8,68.2,0,10.6,-0.091572198,-0.577996073,0.506117689
01M450-2004,EAST SIDE COMMUNITY SCHOOL - 2004,1,72.5,60,0,11.3,0.093772179,-0.526268997,0.439998254
01M450-2003,EAST SIDE COMMUNITY SCHOOL - 2003,1,62,55.7,0,12.7,0.488601193,-0.367568197,0.305339854
01M450-2002,EAST SIDE COMMUNITY SCHOOL - 2002,1,62.5,62.5,0,9.7,0.18968747,-0.53747232,0.186044145
01M450-2001,EAST SIDE COMMUNITY SCHOOL - 2001,1,67.2,65.6,0,19.7,0.519448282,-0.08918294,1.109723528
01M458-2017,FORSYTH SATELLITE ACADEMY - 2017,2,36.4,30.9,0,3.6,1.117029269,-0.556669851,-1.250144863
01M458-2016,FORSYTH SATELLITE ACADEMY - 2016,2,35.8,23.9,0,3,1.242605031,-0.56249881,-1.421795228
01M458-2015,FORSYTH SATELLITE ACADEMY - 2015,2,21.5,16.5,0,8.9,2.010913665,-0.145758541,-1.313048098
01M458-2014,FORSYTH SATELLITE ACADEMY - 2014,2,34.2,32.9,0,16.4,1.765079912,0.083618154,-0.237504407
01M458-2013,FORSYTH SATELLITE ACADEMY - 2013,2,14.9,12.8,0,12.8,2.430022734,0.1052381,-1.173984286
01M458-2012,FORSYTH SATELLITE ACADEMY - 2012,2,14.6,14.6,0,11,2.310490805,0.014014474,-1.29272171
01M458-2011,FORSYTH SATELLITE ACADEMY - 2011,2,14.9,12.6,0,10.3,2.309315644,-0.017147242,-1.375861425
01M458-2010,FORSYTH SATELLITE ACADEMY - 2010,2,8.4,8.4,0,25.3,3.290242655,0.780307019,-0.361378471
01M458-2009,FORSYTH SATELLITE ACADEMY - 2009,2,7,7,0,34.8,3.824429027,1.261707742,0.347145724
01M458-2008,FORSYTH SATELLITE ACADEMY - 2008,2,5.9,4.9,0,46.1,4.455843802,1.831312583,1.192310563
01M458-2007,FORSYTH SATELLITE ACADEMY - 2007,2,5.7,4.7,0,34.9,3.905493051,1.282602466,0.295878332
01M509-2017,MARTA VALLE HIGH SCHOOL - 2017,2,50,50,0,50,2.737370744,1.571463372,2.974978807
01M509-2016,MARTA VALLE HIGH SCHOOL - 2016,1,72,68,4,8,-0.301870644,-0.539965408,0.245890337
01M509-2015,MARTA VALLE HIGH SCHOOL - 2015,1,86.8,65.8,2.6,5.3,-0.699132128,-0.835101547,0.262323904
01M509-2014,MARTA VALLE HIGH SCHOOL - 2014,2,64.3,31,2.4,19,1.2036904,0.093022563,0.410135959
01M509-2013,MARTA VALLE HIGH SCHOOL - 2013,1,66.1,47.5,3.4,6.8,0.199518114,-0.523865322,-0.27387559
01M509-2012,MARTA VALLE HIGH SCHOOL - 2012,1,58.1,56.8,10.8,10.8,0.243601124,0.015388029,-0.038185221
01M509-2011,MARTA VALLE HIGH SCHOOL - 2011,2,44.1,37.3,4.9,17.6,1.413475289,0.261309455,0.029446038
01M509-2010,MARTA VALLE HIGH SCHOOL - 2010,2,44.1,42.4,3.4,15.3,1.225313665,0.071652773,-0.050121939
01M509-2009,MARTA VALLE HIGH SCHOOL - 2009,2,34.7,29.2,5.6,13.9,1.591915411,0.200671654,-0.563228246
01M509-2008,MARTA VALLE HIGH SCHOOL - 2008,2,53.7,50,19.5,17.1,0.621361537,0.739390756,0.161037784
01M509-2007,MARTA VALLE HIGH SCHOOL - 2007,2,49.5,35.8,8.4,15.8,1.16171291,0.282739773,-0.09454806
01M509-2006,MARTA VALLE HIGH SCHOOL - 2006,1,56,47.6,20.2,6,0.049982518,0.212246258,-0.730781987
01M509-2005,MARTA VALLE HIGH SCHOOL - 2005,2,55.7,43.2,20.5,15.9,0.63404344,0.725885919,-0.024909151
01M509-2004,MARTA VALLE HIGH SCHOOL - 2004,2,44.6,20,4.6,12.3,1.494435637,0.031948909,-0.660793479
01M509-2003,MARTA VALLE HIGH SCHOOL - 2003,2,44.3,31.4,0,25.7,2.030891969,0.469970879,0.646156392
01M509-2002,MARTA VALLE HIGH SCHOOL - 2002,2,40,20,7.3,20,1.928823349,0.557385374,-0.162384454
01M509-2001,MARTA VALLE HIGH SCHOOL - 2001,2,49.3,8.7,0,14.5,1.818994157,-0.055631898,-0.529364961
01M515-2017,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2017,2,35.4,35.4,8.9,15.8,1.479113009,0.409505709,-0.343988272
01M515-2016,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2016,2,40.5,39.1,16.5,20.8,1.38598916,0.924264147,0.096777405
01M515-2015,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2015,2,44,41.9,19.1,21.2,1.217873296,1.01866269,0.197821267
01M515-2014,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2014,2,37.2,36.7,16.4,24.3,1.686049863,1.123321012,0.281847242
01M515-2013,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2013,2,35.8,35.3,18.5,27.6,1.868788093,1.387425127,0.469567043
01M515-2012,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2012,2,33.9,33.9,21.4,31,2.051825101,1.693527499,0.646104299
01M515-2011,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2011,2,39.8,39,21.6,28.4,1.681054229,1.516158315,0.618695293
01M515-2010,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2010,2,28.3,27.6,19.1,37.2,2.661828879,1.961405467,0.973245781
01M515-2009,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2009,2,31.4,31.4,21.1,43.5,2.788944944,2.321134524,1.560675606
01M515-2008,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2008,2,43.7,43.2,30.6,27.3,1.272521685,1.796891954,0.544043534
01M515-2007,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2007,2,52.7,47.3,31,25.6,0.892737151,1.651820624,0.621107805
