# Total Cohort,% Grads,% Passing Regents,% Advanced Regents,% Dropout,% Female Cohort,% Male Cohort,% Asian Cohort,% White Cohort,% Black Cohort,% Hispanic Cohort,% Native American Cohort,% Multi-Racial Cohort,% Econ Disadv Cohort,% Not Econ Disadv Cohort,% SWD Cohort,% Not SWD Cohort
6843,49.262019582054656,34.42934385503434,5.991524185298846,17.521554873593452,49.21817916118661,50.78182083881339,12.260704369428613,11.310828583954406,61.24506795265234,14.59886014905743,0.21920210434020165,0.3653368405670028,41.356130352184714,58.643869647815286,11.500803741049248,88.49919625895075
61,14.754098360655737,0.0,0.0,49.18032786885246,36.0655737704918,54.09836065573771,0.0,0.0,11.475409836065573,86.88524590163934,1.639344262295082,0.0,32.78688524590164,57.377049180327866,16.39344262295082,0.0
1111,86.85868586858686,76.14761476147615,12.151215121512152,2.34023402340234,53.73537353735374,46.26462646264626,1.5301530153015301,1.08010801080108,28.622862286228624,68.04680468046804,0.54005400540054,0.18001800180018002,92.16921692169217,7.830783078307831,19.98199819981998,80.01800180018002
1155,12.467532467532468,7.6190476190476195,0.08658008658008658,13.766233766233766,48.484848484848484,51.515151515151516,1.8181818181818181,6.406926406926407,23.03030303030303,66.92640692640693,1.7316017316017316,0.08658008658008658,81.2987012987013,18.7012987012987,20.259740259740262,79.74025974025975
2272,33.142605633802816,9.94718309859155,1.232394366197183,24.911971830985916,45.90669014084507,54.09330985915493,1.012323943661972,1.6285211267605633,89.43661971830986,7.746478873239436,0.08802816901408451,0.08802816901408451,32.21830985915493,67.78169014084507,14.524647887323944,85.47535211267606
230,97.82608695652173,96.95652173913044,28.26086956521739,0.8695652173913043,48.69565217391305,51.30434782608696,14.347826086956522,39.130434782608695,14.782608695652174,15.217391304347828,1.3043478260869565,15.217391304347828,30.0,70.0,16.08695652173913,83.91304347826087
196,89.79591836734694,86.22448979591837,0.0,2.0408163265306123,49.48979591836735,50.51020408163265,1.0204081632653061,1.530612244897959,73.9795918367347,20.408163265306122,0.5102040816326531,2.5510204081632653,77.55102040816327,22.448979591836736,21.93877551020408,78.06122448979592
704,35.22727272727273,6.676136363636363,0.2840909090909091,30.681818181818183,36.221590909090914,50.14204545454546,0.8522727272727272,0.4261363636363636,41.19318181818182,3.6931818181818183,0.0,0.0,8.522727272727272,37.64204545454545,6.534090909090909,79.82954545454545
4543,98.7012987012987,98.7012987012987,96.39005062733877,0.17609509134932863,44.99229583975347,55.007704160246526,33.41404358353511,60.59872331058772,1.2987012987012987,4.3363416244772175,0.22011886418666077,0.13207131851199647,26.2161567246313,73.7838432753687,1.0125467752586397,98.98745322474136
456,83.77192982456141,76.97368421052632,4.166666666666666,8.333333333333332,33.55263157894737,66.44736842105263,2.850877192982456,6.359649122807018,26.973684210526315,61.8421052631579,0.8771929824561403,1.0964912280701753,81.57894736842105,18.421052631578945,26.31578947368421,73.68421052631578
13474,97.23912720795607,97.23912720795607,95.71025679085646,0.19296422740092029,42.25916580080155,57.74083419919845,67.9382514472317,26.347038741279498,1.4769185097224282,2.8350898025827522,0.1781208252931572,1.2245806738904557,40.35178862995398,59.64821137004601,0.37850675374795906,99.62149324625204
2633,73.87011014052412,66.72996581845804,7.519939232814281,6.456513482719331,47.85415875427269,52.14584124572731,7.216103304215723,7.254082795290544,7.7098366881883775,77.55412077478162,0.189897455374098,0.0759589821496392,78.99734143562476,21.00265856437524,20.243068742878844,79.75693125712115
13481,78.985238483792,69.5645723611008,27.14190341962762,6.127141903419628,49.36577405237001,50.63422594762999,14.93212669683258,50.43394406943105,11.141606705733995,22.817298419998515,0.3486388250129812,0.32638528299087605,45.404643572435276,54.595356427564724,17.43194125064906,82.56805874935094
1817,92.68024215740232,88.0022014309301,32.526141992294995,1.3758943313153549,77.5454045129334,22.45459548706659,3.6873968079251513,18.49201981287837,35.22289488167309,40.23115024766098,0.27517886626307103,2.0913593835993396,57.07209686296092,42.927903137039074,6.329113924050633,93.67088607594937
1289,69.588828549263,59.65865011636928,11.55934833204034,6.982156710628394,63.22730799069046,36.772692009309544,0.6206361520558572,0.8533747090768037,83.86346004654771,14.197051978277736,0.3103180760279286,0.1551590380139643,83.9410395655547,16.058960434445307,20.09309542280838,79.90690457719161
1287,59.28515928515928,44.75524475524475,3.1857031857031854,13.364413364413362,48.096348096348095,51.903651903651905,1.1655011655011656,1.2432012432012431,28.51592851592852,68.68686868686868,0.0777000777000777,0.3108003108003108,82.2066822066822,17.793317793317794,19.96891996891997,80.03108003108002
1167,62.639245929734365,50.21422450728363,3.1705227077977725,8.911739502999144,51.156812339331616,48.84318766066838,4.113110539845758,12.767780634104541,45.24421593830334,36.50385604113111,0.17137960582690662,1.1996572407883461,67.78063410454156,32.21936589545844,14.910025706940875,85.08997429305913
11785,99.0411540093339,99.0411540093339,96.902842596521,0.0848536274925753,43.317776834959695,56.6822231650403,61.05218498090793,26.5931268561731,3.6741620704285105,7.068307170131523,0.3054730589732711,1.30674586338566,42.74077216801018,57.259227831989826,0.8739923631735256,99.12600763682647
1276,59.95297805642633,46.86520376175549,2.978056426332288,13.793103448275861,43.573667711598745,56.42633228840125,2.978056426332288,2.74294670846395,57.210031347962385,35.3448275862069,1.6457680250783697,0.07836990595611285,68.73040752351098,31.269592476489027,19.984326018808776,80.01567398119123
330,61.81818181818181,46.666666666666664,0.6060606060606061,14.242424242424242,45.151515151515156,54.848484848484844,3.939393939393939,2.1212121212121215,74.24242424242425,18.787878787878785,0.9090909090909091,0.0,84.84848484848484,15.151515151515152,26.969696969696972,73.03030303030303
394,82.99492385786802,79.69543147208121,9.898477157360407,5.0761421319796955,40.86294416243655,59.13705583756346,3.2994923857868024,3.0456852791878175,49.23857868020304,41.878172588832484,1.015228426395939,1.5228426395939088,89.59390862944161,10.406091370558377,16.49746192893401,83.50253807106598
1534,66.10169491525424,50.0,2.346805736636245,10.75619295958279,51.82529335071708,48.174706649282925,0.651890482398957,1.4341590612777053,24.054758800521512,72.6205997392438,0.3911342894393742,0.847457627118644,80.50847457627118,19.491525423728813,17.27509778357236,82.72490221642764
651,87.55760368663594,85.40706605222735,10.599078341013826,1.8433179723502304,58.06451612903226,41.935483870967744,3.840245775729647,3.0721966205837172,21.19815668202765,69.27803379416282,2.3041474654377883,0.30721966205837176,81.25960061443932,18.74039938556068,9.831029185867896,90.1689708141321
