Index,School / Cohort
01M515-2001,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2001
01M539-2017,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2017"
01M539-2016,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2016"
01M539-2015,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2015"
01M539-2014,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2014"
01M539-2013,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2013"
01M539-2012,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2012"
01M539-2011,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2011"
01M539-2010,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2010"
01M539-2009,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2009"
01M539-2008,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2008"
01M539-2007,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2007"
01M539-2006,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2006"
01M539-2005,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2005"
01M539-2004,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2004"
01M539-2003,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2003"
01M539-2002,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2002"
01M539-2001,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2001"
01M650-2017,CASCADES HIGH SCHOOL - 2017
01M650-2016,CASCADES HIGH SCHOOL - 2016
01M650-2015,CASCADES HIGH SCHOOL - 2015
01M650-2014,CASCADES HIGH SCHOOL - 2014
01M650-2013,CASCADES HIGH SCHOOL - 2013
01M650-2012,CASCADES HIGH SCHOOL - 2012
01M650-2011,CASCADES HIGH SCHOOL - 2011
01M650-2010,CASCADES HIGH SCHOOL - 2010
01M650-2009,CASCADES HIGH SCHOOL - 2009
01M650-2008,CASCADES HIGH SCHOOL - 2008
01M650-2007,CASCADES HIGH SCHOOL - 2007
01M650-2006,CASCADES HIGH SCHOOL - 2006
01M650-2005,CASCADES HIGH SCHOOL - 2005
01M650-2004,CASCADES HIGH SCHOOL - 2004
01M650-2003,CASCADES HIGH SCHOOL - 2003
01M650-2002,CASCADES HIGH SCHOOL - 2002
01M650-2001,CASCADES HIGH SCHOOL - 2001
01M696-2017,BARD HIGH SCHOOL EARLY COLLEGE - 2017
01M696-2016,BARD HIGH SCHOOL EARLY COLLEGE - 2016
01M696-2015,BARD HIGH SCHOOL EARLY COLLEGE - 2015
01M696-2014,BARD HIGH SCHOOL EARLY COLLEGE - 2014
01M696-2013,BARD HIGH SCHOOL EARLY COLLEGE - 2013
01M696-2012,BARD HIGH SCHOOL EARLY COLLEGE - 2012
01M696-2011,BARD HIGH SCHOOL EARLY COLLEGE - 2011
01M696-2010,BARD HIGH SCHOOL EARLY COLLEGE - 2010
01M696-2009,BARD HIGH SCHOOL EARLY COLLEGE - 2009
01M696-2008,BARD HIGH SCHOOL EARLY COLLEGE - 2008
01M696-2007,BARD HIGH SCHOOL EARLY COLLEGE - 2007
01M696-2006,BARD HIGH SCHOOL EARLY COLLEGE - 2006
01M696-2005,BARD HIGH SCHOOL EARLY COLLEGE - 2005
01M696-2004,BARD HIGH SCHOOL EARLY COLLEGE - 2004
01M696-2003,BARD HIGH SCHOOL EARLY COLLEGE - 2003
01M696-2002,BARD HIGH SCHOOL EARLY COLLEGE - 2002
01M696-2001,BARD HIGH SCHOOL EARLY COLLEGE - 2001
02M047-2017,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2017
02M047-2016,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2016
02M047-2015,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2015
02M047-2014,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2014
02M047-2013,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2013
02M047-2012,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2012
02M047-2011,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2011
02M047-2010,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2010
02M047-2009,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2009
02M047-2008,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2008
02M047-2007,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2007
02M047-2006,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2006
02M047-2005,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2005
02M047-2004,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2004
02M047-2003,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2003
02M047-2002,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2002
02M047-2001,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2001
02M135-2017,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT - 2017
02M135-2016,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT - 2016
02M135-2015,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT - 2015
02M135-2014,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT - 2014
02M135-2013,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT - 2013
02M139-2017,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL - 2017
