Index,School / Cohort
05M692-2016,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2016"
05M692-2015,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2015"
05M692-2014,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2014"
05M692-2013,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2013"
05M692-2012,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2012"
05M692-2011,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2011"
05M692-2010,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2010"
05M692-2009,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2009"
05M692-2008,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2008"
05M692-2007,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2007"
05M692-2006,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2006"
05M692-2005,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2005"
05M692-2004,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2004"
05M692-2003,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2003"
05M692-2002,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE - 2002"
06M211-2017,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES - 2017
06M211-2016,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES - 2016
06M211-2015,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES - 2015
06M211-2014,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES - 2014
06M293-2017,CITY COLLEGE ACADEMY OF THE ARTS - 2017
06M293-2016,CITY COLLEGE ACADEMY OF THE ARTS - 2016
06M293-2015,CITY COLLEGE ACADEMY OF THE ARTS - 2015
06M293-2014,CITY COLLEGE ACADEMY OF THE ARTS - 2014
06M293-2013,CITY COLLEGE ACADEMY OF THE ARTS - 2013
06M293-2012,CITY COLLEGE ACADEMY OF THE ARTS - 2012
06M293-2011,CITY COLLEGE ACADEMY OF THE ARTS - 2011
06M293-2010,CITY COLLEGE ACADEMY OF THE ARTS - 2010
06M293-2009,CITY COLLEGE ACADEMY OF THE ARTS - 2009
06M293-2008,CITY COLLEGE ACADEMY OF THE ARTS - 2008
06M346-2017,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - 2017
06M346-2016,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - 2016
06M346-2015,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - 2015
06M346-2014,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - 2014
06M346-2013,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - 2013
06M346-2012,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - 2012
06M346-2011,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - 2011
06M346-2010,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - 2010
06M346-2009,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - 2009
06M346-2008,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - 2008
06M348-2017,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL - 2017
06M348-2016,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL - 2016
06M348-2015,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL - 2015
06M348-2014,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL - 2014
06M348-2013,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL - 2013
06M348-2012,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL - 2012
06M348-2011,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL - 2011
06M348-2010,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL - 2010
06M348-2009,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL - 2009
06M348-2008,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL - 2008
06M423-2017,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION - 2017
06M423-2016,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION - 2016
06M423-2015,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION - 2015
06M423-2014,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION - 2014
06M423-2013,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION - 2013
06M423-2012,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION - 2012
06M423-2011,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION - 2011
06M423-2010,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION - 2010
06M423-2009,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION - 2009
06M462-2017,THE COLLEGE ACADEMY - 2017
06M462-2016,THE COLLEGE ACADEMY - 2016
06M462-2015,THE COLLEGE ACADEMY - 2015
06M462-2014,THE COLLEGE ACADEMY - 2014
06M462-2013,THE COLLEGE ACADEMY - 2013
06M462-2012,THE COLLEGE ACADEMY - 2012
06M462-2011,THE COLLEGE ACADEMY - 2011
06M462-2010,THE COLLEGE ACADEMY - 2010
06M462-2009,THE COLLEGE ACADEMY - 2009
06M462-2008,THE COLLEGE ACADEMY - 2008
06M462-2007,THE COLLEGE ACADEMY - 2007
06M462-2006,THE COLLEGE ACADEMY - 2006
06M462-2005,THE COLLEGE ACADEMY - 2005
06M462-2004,THE COLLEGE ACADEMY - 2004
06M462-2003,THE COLLEGE ACADEMY - 2003
06M462-2002,THE COLLEGE ACADEMY - 2002
06M462-2001,THE COLLEGE ACADEMY - 2001
06M463-2017,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2017
06M463-2016,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2016
06M463-2015,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2015
06M463-2014,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2014
06M463-2013,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2013
06M463-2012,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2012
06M463-2011,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2011
06M463-2010,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2010
06M463-2009,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2009
06M463-2008,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2008
06M463-2007,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2007
06M463-2006,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2006
06M463-2005,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2005
06M463-2004,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2004
06M463-2003,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2003
06M463-2002,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2002
06M463-2001,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS - 2001
06M467-2017,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2017
06M467-2016,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2016
06M467-2015,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2015
06M467-2014,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2014
06M467-2013,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2013
06M467-2012,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2012
06M467-2011,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2011
06M467-2010,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2010
06M467-2009,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2009
06M467-2008,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2008
06M467-2007,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2007
06M467-2006,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2006
06M467-2005,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2005
06M467-2004,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2004
06M467-2003,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2003
06M467-2002,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2002
06M467-2001,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE - 2001
06M468-2017,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2017
06M468-2016,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2016
06M468-2015,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2015
06M468-2014,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2014
06M468-2013,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2013
06M468-2012,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2012
06M468-2011,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2011
06M468-2010,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2010
06M468-2009,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2009
06M468-2008,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2008
06M468-2007,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2007
06M468-2006,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2006
06M468-2005,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2005
06M468-2004,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2004
06M468-2003,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2003
06M468-2002,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2002
06M468-2001,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES - 2001
06M540-2017,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2017
06M540-2016,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2016
06M540-2015,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2015
06M540-2014,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2014
06M540-2013,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2013
06M540-2012,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2012
06M540-2011,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2011
06M540-2010,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2010
06M540-2009,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2009
06M540-2008,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2008
06M540-2007,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2007
06M540-2006,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2006
06M540-2005,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2005
06M540-2004,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2004
06M540-2003,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2003
06M540-2002,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2002
06M540-2001,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL - 2001
06M552-2017,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2017
06M552-2016,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2016
06M552-2015,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2015
06M552-2014,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2014
06M552-2013,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2013
06M552-2012,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2012
06M552-2011,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2011
06M552-2010,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2010
06M552-2009,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2009
06M552-2008,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2008
06M552-2007,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2007
06M552-2006,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2006
06M552-2005,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2005
06M552-2004,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2004
06M552-2003,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2003
06M552-2002,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2002
06M552-2001,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS - 2001
07X221-2017,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2017
07X221-2016,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2016
07X221-2015,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2015
07X221-2014,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2014
07X221-2013,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2013
07X221-2012,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2012
07X221-2011,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2011
07X221-2010,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2010
07X221-2009,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2009
07X221-2008,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2008
07X221-2007,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2007
07X221-2006,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2006
07X221-2005,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2005
07X221-2004,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL - 2004
07X223-2017,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223 - 2017
07X223-2016,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223 - 2016
07X223-2015,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223 - 2015
07X223-2014,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223 - 2014
07X223-2013,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223 - 2013
07X259-2017,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL) - 2017"
07X259-2016,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL) - 2016"
07X259-2015,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL) - 2015"
07X259-2014,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL) - 2014"
07X259-2013,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL) - 2013"
07X334-2017,INTERNATIONAL COMMUNITY HIGH SCHOOL - 2017
07X334-2016,INTERNATIONAL COMMUNITY HIGH SCHOOL - 2016
07X334-2015,INTERNATIONAL COMMUNITY HIGH SCHOOL - 2015
07X334-2014,INTERNATIONAL COMMUNITY HIGH SCHOOL - 2014
07X334-2013,INTERNATIONAL COMMUNITY HIGH SCHOOL - 2013
07X334-2012,INTERNATIONAL COMMUNITY HIGH SCHOOL - 2012
07X334-2011,INTERNATIONAL COMMUNITY HIGH SCHOOL - 2011
07X334-2010,INTERNATIONAL COMMUNITY HIGH SCHOOL - 2010
07X334-2009,INTERNATIONAL COMMUNITY HIGH SCHOOL - 2009
07X334-2008,INTERNATIONAL COMMUNITY HIGH SCHOOL - 2008
07X334-2006,INTERNATIONAL COMMUNITY HIGH SCHOOL - 2006
07X379-2017,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2017
07X379-2016,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2016
07X379-2015,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2015
07X379-2014,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2014
07X379-2013,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2013
07X379-2012,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2012
07X379-2011,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2011
07X379-2010,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2010
07X379-2009,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2009
07X379-2008,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2008
07X379-2007,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2007
07X379-2006,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2006
07X379-2005,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2005
07X379-2004,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2004
07X379-2003,JILL CHAIFETZ TRANSFER HIGH SCHOOL - 2003
07X381-2017,BRONX HAVEN HIGH SCHOOL - 2017
07X381-2016,BRONX HAVEN HIGH SCHOOL - 2016
07X381-2015,BRONX HAVEN HIGH SCHOOL - 2015
07X381-2014,BRONX HAVEN HIGH SCHOOL - 2014
07X381-2013,BRONX HAVEN HIGH SCHOOL - 2013
07X381-2012,BRONX HAVEN HIGH SCHOOL - 2012
07X381-2011,BRONX HAVEN HIGH SCHOOL - 2011
07X381-2010,BRONX HAVEN HIGH SCHOOL - 2010
07X381-2009,BRONX HAVEN HIGH SCHOOL - 2009
07X381-2008,BRONX HAVEN HIGH SCHOOL - 2008
07X381-2007,BRONX HAVEN HIGH SCHOOL - 2007
07X381-2006,BRONX HAVEN HIGH SCHOOL - 2006
07X381-2005,BRONX HAVEN HIGH SCHOOL - 2005
07X427-2017,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2017
07X427-2016,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2016
07X427-2015,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2015
07X427-2014,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2014
07X427-2013,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2013
07X427-2012,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2012
07X427-2011,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2011
07X427-2010,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2010
07X427-2009,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2009
07X427-2008,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2008
07X427-2007,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2007
07X427-2006,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2006
07X427-2005,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2005
07X427-2004,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2004
07X427-2003,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2003
07X427-2002,COMMUNITY SCHOOL FOR SOCIAL JUSTICE - 2002
07X470-2002,SOUTH BRONX HS - 2002
07X470-2001,SOUTH BRONX HS - 2001
07X473-2017,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2017
07X473-2016,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2016
07X473-2015,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2015
07X473-2014,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2014
07X473-2013,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2013
07X473-2012,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2012
07X473-2011,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2011
07X473-2010,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2010
07X473-2009,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2009
07X473-2008,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2008
07X473-2007,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2007
07X473-2006,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2006
07X473-2005,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2005
07X473-2004,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2004
07X473-2003,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2003
07X473-2002,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL - 2002
07X495-2017,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2017
07X495-2016,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2016
07X495-2015,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2015
07X495-2014,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2014
07X495-2013,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2013
07X495-2012,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2012
07X495-2011,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2011
07X495-2010,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2010
07X495-2009,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2009
07X495-2008,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2008
07X495-2007,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2007
07X495-2006,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2006
07X495-2005,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2005
07X495-2004,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2004
07X495-2003,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2003
07X495-2002,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2002
07X495-2001,UNIVERSITY HEIGHTS SECONDARY SCHOOL - 2001
07X500-2017,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2017
07X500-2016,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2016
07X500-2015,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2015
07X500-2014,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2014
07X500-2013,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2013
07X500-2012,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2012
07X500-2011,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2011
07X500-2010,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2010
07X500-2009,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2009
07X500-2008,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2008
07X500-2007,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2007
07X500-2006,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2006
07X500-2005,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2005
07X500-2004,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2004
07X500-2003,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2003
07X500-2002,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2002
07X500-2001,HOSTOS-LINCOLN ACADEMY OF SCIENCE - 2001
07X520-2012,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2012
07X520-2011,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2011
07X520-2010,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2010
07X520-2009,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2009
07X520-2008,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2008
07X520-2007,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2007
07X520-2006,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2006
07X520-2005,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2005
07X520-2004,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2004
07X520-2003,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2003
07X520-2002,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2002
07X520-2001,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES - 2001
07X522-2017,BRONX DESIGN AND CONSTRUCTION ACADEMY - 2017
07X522-2016,BRONX DESIGN AND CONSTRUCTION ACADEMY - 2016
07X522-2015,BRONX DESIGN AND CONSTRUCTION ACADEMY - 2015
07X522-2014,BRONX DESIGN AND CONSTRUCTION ACADEMY - 2014
07X522-2013,BRONX DESIGN AND CONSTRUCTION ACADEMY - 2013
07X522-2012,BRONX DESIGN AND CONSTRUCTION ACADEMY - 2012
07X522-2011,BRONX DESIGN AND CONSTRUCTION ACADEMY - 2011
07X527-2017,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2017
07X527-2016,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2016
07X527-2015,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2015
07X527-2014,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2014
07X527-2013,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2013
07X527-2012,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2012
07X527-2011,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2011
07X527-2010,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2010
07X527-2009,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2009
07X527-2008,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2008
07X527-2007,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2007
07X527-2006,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2006
07X527-2005,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2005
07X527-2004,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2004
07X527-2003,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2003
07X527-2002,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL - 2002
07X547-2015,NEW EXPLORERS HIGH SCHOOL - 2015
07X547-2014,NEW EXPLORERS HIGH SCHOOL - 2014
07X547-2013,NEW EXPLORERS HIGH SCHOOL - 2013
07X547-2012,NEW EXPLORERS HIGH SCHOOL - 2012
07X547-2011,NEW EXPLORERS HIGH SCHOOL - 2011
07X547-2010,NEW EXPLORERS HIGH SCHOOL - 2010
07X547-2009,NEW EXPLORERS HIGH SCHOOL - 2009
07X547-2008,NEW EXPLORERS HIGH SCHOOL - 2008
