School_Names,lat,lng
HUMANITIES PREPARATORY ACADEMY,40.7431615,-74.0025033
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.7247073,-74.00501779999999
NORMAN THOMAS HS,40.7463214,-73.9811295
HS OF GRAPHIC COMMUNICATION ARTS,40.7639856,-73.9903637
ART AND DESIGN HIGH SCHOOL,40.759375,-73.966293
THE HIGH SCHOOL FOR CLIMATE JUSTICE,40.767972,-73.9881832
SCHOOL FOR THE PHYSICAL CITY,40.7361554,-73.99581119999999
MANHATTAN THEATRE LAB HS,40.7747617,-73.9846771
THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,40.7746699,-73.9857955
"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",40.7746699,-73.9857955
THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,40.785994,-73.97417
THE GLOBAL LEARNING COLLABORATIVE,40.7859664,-73.974391
INNOVATION DIPLOMA PLUS,40.78567290000001,-73.9740479
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,40.8025923,-73.9544319
FRANK MCCOURT HIGH SCHOOL,40.785861,-73.9745414
LOUIS D BRANDEIS HS,40.7860105,-73.9740956
BEACON HIGH SCHOOL,40.76147820000001,-73.9960638
FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,40.7741856,-73.9851211
MARTIN LUTHER KING JR ACADEMY,40.2310507,-74.7579409
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",40.7747617,-73.9846771
HIGH SCHOOL OF ARTS AND TECHNOLOGY,40.7753897,-73.9860564
EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,40.7972732,-73.96668799999999
MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,40.7746651,-73.98578429999999
SPECIAL MUSIC SCHOOL,40.77520639999999,-73.9831573
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,40.8025691,-73.95412139999999
THE JUDITH S. KAYE SCHOOL,40.7838848,-73.9451078
ESPERANZA PREPARATORY ACADEMY,40.7930489,-73.94265109999999
COALITION SCHOOL FOR SOCIAL CHANGE,40.79921059999999,-73.9334681
MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,40.7943048,-73.93341749999999
PARK EAST HIGH SCHOOL,40.7903273,-73.94409019999999
CENTRAL PARK EAST HIGH SCHOOL,40.7936899,-73.9491583
YOUNG WOMEN'S LEADERSHIP SCHOOL,40.792831,-73.94724380000001
ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HS,40.7851506,-73.9421705
"HERITAGE SCHOOL, THE",40.7919316,-73.9468018
URBAN PEACE ACADEMY,40.7993154,-73.9339517
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,40.8172843,-73.9475176
THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,40.8066295,-73.9384397
HARLEM RENAISSANCE HIGH SCHOOL,40.807763,-73.93995699999999
MOTT HALL HIGH SCHOOL,40.817349,-73.94745
COLUMBIA SECONDARY SCHOOL,40.8106437,-73.95602869999999
ACADEMY FOR SOCIAL ACTION,40.6034831,-74.17402539999999
URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,40.8154776,-73.9555255
CHOIR ACADEMY OF HARLEM,40.8068568,-73.93898039999999
FREDERICK DOUGLASS ACADEMY,40.8242589,-73.9367966
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,40.8153498,-73.9442595
BREAD & ROSES INTEGRATED ARTS HS,40.8174101,-73.94747079999999
"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",40.8213658,-73.94880239999999
INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,40.86562920000001,-73.92504050000001
CITY COLLEGE ACADEMY OF THE ARTS,40.8608456,-73.93014939999999
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,40.833611,-73.94219439999999
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,40.8490995,-73.9311065
HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,40.8659143,-73.925157
THE COLLEGE ACADEMY,40.8562269,-73.9262547
HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,40.8562269,-73.9262547
HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,40.8560809,-73.9258943
HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,40.8560809,-73.9258943
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,40.8182599,-73.9497294
GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,40.8382348,-73.9385319
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,40.8137231,-73.9206428
THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223,40.81324980000001,-73.92065389999999
"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL)",40.8105027,-73.90719050000001
INTERNATIONAL COMMUNITY HIGH SCHOOL,40.8098575,-73.9181638
