# Total Cohort,# Grads,# Total Regents,# Advanced Regents,# Dropout,# Female,# Male,# White,# Black,# Asian,# Hispanic,# Native American,# Multi-Racial,# Econ Disadv,# Not Econ Disadv,# SWD,# Not SWD
1843,1377,1193,156,132,1081,762,29,594,34,1169,7,10,1585,258,277,1566
1453,968,840,74,204,727,726,38,436,22,850,3,4,1214,239,230,1223
672,441,414,7,84,376,296,6,139,8,516,2,1,553,119,133,539
1361,934,780,49,168,935,426,37,424,9,885,4,2,1123,238,230,1131
748,592,513,48,43,355,393,63,222,28,425,8,2,625,123,162,586
1330,205,118,2,154,741,589,15,1081,5,211,16,2,1120,210,205,1125
1651,1096,967,125,103,725,926,24,1378,54,183,8,4,1284,367,204,1447
1225,176,130,0,165,572,653,25,1050,22,118,8,2,938,287,220,1005
1141,993,967,0,53,577,564,113,455,53,511,5,4,808,333,306,835
2212,2103,1941,763,16,1361,722,96,1592,125,205,12,53,1111,972,108,2104
1086,721,614,52,74,511,575,6,940,16,112,11,1,903,183,199,887
1175,801,716,13,109,643,532,11,921,9,218,13,3,937,238,241,934
729,430,397,14,101,287,442,16,628,11,63,8,3,531,198,137,592
236,16,1,0,13,115,112,0,9,0,3,0,0,60,92,16,220
966,153,108,0,140,482,484,8,799,11,135,13,0,709,257,194,772
522,127,105,0,157,244,278,10,350,11,147,3,1,447,75,224,298
2020,1311,1082,98,191,958,1062,25,1454,37,477,10,17,1615,405,368,1652
922,80,53,0,195,475,447,21,641,8,242,7,3,759,163,153,769
2803,2142,1822,287,54,1887,916,74,2036,59,585,14,35,1864,939,261,2542
543,503,453,5,8,284,259,2,489,11,36,5,0,465,78,100,443
1482,1171,1004,0,103,747,735,178,303,516,485,0,0,1263,219,23,1459
890,523,425,31,128,369,521,19,275,69,515,10,2,731,159,172,718
1467,1416,1416,731,7,680,787,192,287,623,223,9,133,959,508,30,1437
1427,1197,1044,11,45,787,640,25,823,29,535,10,5,1158,269,241,1186
1208,896,733,67,74,855,353,13,1016,9,160,6,4,1007,201,167,1041
2594,1839,1645,451,243,1306,1288,1505,200,320,558,5,6,1908,686,532,2062
20534,19218,19216,17698,79,8537,11997,4582,2064,11960,1583,54,291,12415,8119,219,20315
888,578,550,2,77,521,367,18,750,4,99,9,8,724,164,148,740
1246,218,164,0,153,738,508,10,1040,10,156,14,16,1029,217,147,1099
2030,189,108,0,554,1061,969,21,723,8,1272,6,0,1810,220,321,1709
666,265,54,0,216,286,380,5,151,10,497,3,0,348,318,159,507
1384,859,566,61,148,681,703,8,248,14,1111,1,2,1270,114,261,1123
1087,497,373,29,146,379,708,15,926,47,78,14,7,513,574,162,925
815,594,525,45,58,277,538,17,293,15,484,6,0,576,239,189,626
418,389,362,88,5,134,284,32,164,110,80,13,19,300,118,55,363
692,540,477,6,21,353,339,8,536,68,61,13,6,526,166,115,577
3655,1285,557,56,622,1500,1908,78,2875,57,384,9,5,1050,2358,596,2812
1799,1283,1041,52,157,409,1390,22,496,10,1255,10,6,1506,293,354,1445
1726,562,414,1,225,1021,705,60,644,62,943,10,7,1378,348,182,1544
1298,1077,959,223,42,796,502,22,340,15,898,4,19,1064,234,147,1151
1565,1304,1147,301,77,965,600,51,470,129,902,10,3,1322,243,225,1340
1462,1321,1232,198,21,727,735,204,744,85,416,10,3,1149,313,176,1286
2262,1313,1052,332,346,821,1441,59,729,130,1327,6,11,1972,290,387,1875
509,310,155,3,39,329,180,4,408,0,91,5,1,411,98,50,459
4354,1718,939,70,730,1924,2430,455,1487,269,2102,19,22,2982,1372,826,3528
803,762,757,181,4,473,330,15,40,10,735,1,2,659,144,99,704
901,690,646,4,17,201,700,36,621,59,174,9,2,624,277,144,757
1170,1027,1005,275,52,625,545,60,86,117,850,1,56,895,275,199,971
6577,4293,3520,400,476,4913,1664,86,5866,104,459,42,20,5019,1558,820,5757
491,349,321,0,40,252,239,14,116,39,321,1,0,454,37,37,454
1137,587,329,1,233,622,515,29,393,23,646,6,1,965,172,246,891
2536,1626,1183,96,245,1325,1211,80,1610,80,733,12,21,1947,589,485,2051
2041,1712,1623,687,139,909,1132,181,739,210,886,13,12,1464,577,286,1755
731,708,695,391,1,379,352,145,139,92,341,5,9,426,305,39,692
858,624,568,70,28,437,421,13,47,5,789,3,1,778,80,151,707
1195,734,562,0,208,654,541,16,393,6,773,6,1,1058,137,247,948
652,553,526,148,22,320,332,7,145,3,497,0,0,583,69,157,495
1240,272,152,0,230,679,561,304,363,22,523,6,22,812,428,281,959
552,82,67,0,127,361,191,6,225,5,278,3,2,436,116,41,511
633,389,363,0,122,313,320,13,56,18,543,2,1,506,127,37,596
1537,1486,1402,447,9,900,637,876,162,203,275,11,10,655,882,199,1338
767,525,481,26,54,350,417,8,676,6,71,4,2,601,166,142,625
10377,7417,6563,2128,987,5560,4817,2492,3715,731,3352,55,32,6651,3726,1589,8788
1079,634,522,42,100,663,416,63,535,72,401,4,4,819,260,154,925
1042,648,571,65,139,507,535,32,180,101,722,7,0,817,225,136,906
12952,6829,5441,1590,2235,6582,6370,370,3696,876,7902,82,26,10271,2681,1811,11141
1096,655,483,15,111,535,561,68,563,22,432,6,5,785,311,237,859
1662,1099,999,385,193,783,879,31,381,39,1198,9,4,1370,292,383,1279
1085,722,607,37,61,670,415,13,834,13,210,4,11,884,201,174,911
912,471,417,13,212,526,386,6,294,6,590,14,2,769,143,175,737
1223,826,699,24,97,0,1223,10,779,8,412,6,8,941,282,264,959
548,460,420,45,9,0,548,5,481,3,54,1,4,388,160,111,437
274,242,216,47,4,0,274,3,243,3,10,3,12,157,117,67,207
114,81,81,27,6,0,114,0,82,0,28,2,2,79,35,32,82
1305,934,788,46,127,610,695,14,380,27,873,7,4,1085,220,356,949
1003,203,138,0,165,480,523,16,821,8,153,5,0,783,220,241,762
1064,857,685,56,32,582,482,12,709,17,316,10,0,847,217,119,945
1432,1123,1098,0,87,701,731,115,357,137,805,11,7,1097,335,329,1103
2527,1435,1038,78,360,1325,1202,40,1324,20,1122,2,19,2113,414,355,2172
1015,934,873,301,13,472,543,48,163,586,205,6,7,806,209,99,916
2331,1587,1134,171,198,1183,1148,31,249,19,2022,8,2,1985,346,342,1989
673,333,153,5,104,368,305,8,385,4,271,3,2,409,264,101,572
3575,634,349,5,517,1920,1655,69,1139,27,2316,15,9,3147,428,837,2738
15507,11574,11081,4736,871,9204,6303,5024,3642,3999,2643,35,164,9292,6215,2003,13504
773,531,423,0,46,423,350,10,77,6,673,2,5,619,154,173,600
2016,2002,1991,1584,4,1253,763,1216,114,414,226,9,37,792,1224,109,1907
951,479,478,303,210,452,499,63,94,527,257,10,0,851,100,0,951
533,480,471,137,10,132,401,75,46,102,278,4,28,395,138,92,441
994,267,256,0,360,415,579,28,168,51,738,9,0,789,205,6,988
420,341,320,15,25,205,215,22,80,99,174,13,32,310,110,55,365
357,269,255,28,43,170,187,14,124,101,92,17,9,258,99,59,298
499,367,336,78,32,234,265,7,53,4,434,1,0,435,64,93,406
1164,899,808,0,76,593,571,116,367,69,580,10,22,803,361,259,905
1719,530,166,9,619,724,986,26,838,52,637,3,2,1391,319,333,1386
1547,1185,1052,183,89,738,809,15,1315,48,119,12,38,1156,391,227,1320
1129,896,800,161,64,599,530,6,472,15,622,8,6,988,141,224,905
1179,711,579,39,200,560,619,16,354,13,788,6,2,1080,99,259,920
1227,763,756,33,206,579,648,24,333,16,844,3,7,993,234,277,950
1921,1231,1005,0,232,941,980,10,608,8,1283,11,1,1709,212,523,1398
1541,623,215,28,412,777,764,24,978,62,475,1,1,1127,414,278,1263
1066,688,521,17,163,261,805,6,810,9,234,6,1,807,259,240,826
1022,452,328,5,212,571,451,8,252,10,666,7,3,813,209,225,797
10791,10422,10341,7443,38,7911,2880,4912,1496,2103,2003,23,254,3324,7467,201,10590
9694,5279,4724,1091,1774,4433,5261,407,2011,2065,5131,51,29,6515,3179,1062,8632
1330,846,763,0,142,604,726,29,22,682,592,4,1,1204,126,21,1309
1246,991,884,60,86,690,556,48,526,52,613,5,2,985,261,223,1023
1345,999,863,213,109,809,536,30,508,19,786,1,1,1154,191,269,1076
1699,888,685,67,307,685,1014,28,532,38,1092,5,4,1412,287,336,1363
984,563,435,38,118,555,429,14,225,20,649,6,1,832,152,165,819
16501,13388,12006,5590,809,8393,8108,5790,1546,4102,4811,99,153,8675,7826,1671,14830
955,153,131,0,201,525,430,28,348,26,542,10,1,784,171,198,757
18590,12127,11037,4423,2366,8524,10066,6409,826,5660,5544,26,125,10606,7984,2101,16489
386,185,138,4,62,199,187,2,272,0,78,2,1,314,72,77,309
219,122,101,1,18,60,159,9,125,0,62,2,0,198,21,57,162
18784,15105,14079,9211,829,9518,9266,3103,1714,9788,4106,61,12,10561,8223,1883,16901
732,679,652,38,5,403,329,213,120,48,322,3,26,387,345,129,603
2941,2753,2656,1392,13,2039,902,1205,525,274,899,15,23,1084,1857,199,2742
13505,7331,6623,2502,2384,5887,7618,2671,1160,5473,4128,41,32,10452,3053,1569,11936
4517,1526,863,138,1084,2072,2114,120,1024,337,2200,13,0,2999,695,565,3952
3780,2879,2781,864,178,1894,1886,50,2770,53,871,7,29,2793,987,258,3522
967,655,544,58,81,421,546,11,692,15,239,3,7,690,277,183,784
1286,829,715,33,174,619,667,12,649,13,599,8,5,1030,256,220,1066
405,258,222,10,21,190,215,1,328,1,43,5,0,278,127,67,338
1346,723,608,14,184,631,715,10,850,48,417,13,8,994,352,195,1151
1013,636,523,61,105,523,490,8,885,6,110,4,0,887,126,188,825
450,224,202,10,52,242,208,8,308,9,69,2,1,333,117,76,374
881,385,279,25,159,338,543,13,303,51,507,5,2,742,139,177,704
982,867,779,102,22,508,474,619,118,39,188,5,13,489,493,229,753
1700,1245,1188,287,84,886,814,25,1303,130,213,15,14,1210,490,194,1506
3065,1923,1420,226,255,970,2095,44,2319,87,584,24,7,2189,876,506,2559
539,218,72,3,163,251,284,2,297,3,43,0,0,283,256,82,453
768,394,211,17,143,326,442,26,306,22,406,5,3,592,176,125,643
1433,816,512,6,187,680,753,16,494,69,840,11,3,1225,208,371,1062
487,295,294,0,53,284,203,3,366,5,64,2,1,393,94,97,390
3325,1209,745,58,893,2097,1228,57,1090,46,2111,16,5,2955,370,689,2636
1330,1026,927,103,59,926,404,81,576,41,606,8,18,972,358,194,1136
1860,1323,1112,206,171,1005,855,0,0,0,1860,0,0,1736,124,19,1841
9709,5256,4111,970,1588,4445,5264,2350,425,812,6039,33,50,6459,3250,1240,8469
506,377,356,0,39,354,152,1,201,8,286,4,6,401,105,101,405
1460,201,153,0,293,846,614,22,751,16,661,8,2,1171,289,270,1190
8903,5662,5035,555,1334,3874,5029,163,5082,192,3365,94,7,4432,4471,1707,7196
628,285,68,8,177,214,262,5,158,4,114,0,0,445,183,59,222
661,570,562,0,11,373,288,126,148,44,322,1,20,399,262,168,493
563,145,104,2,126,308,255,53,208,16,282,1,3,444,119,143,420
2290,1429,1217,118,401,1547,743,21,888,41,1322,14,4,1910,380,383,1907
