# Total Cohort,# Grads,# Total Regents,# Advanced Regents,# Dropout,# Female,# Male,# White,# Black,# Asian,# Hispanic,# Native American,# Multi-Racial,# Econ Disadv,# Not Econ Disadv,# SWD,# Not SWD
638,620,578,199,5,315,323,134,113,103,251,19,18,394,244,123,515
1196,736,596,58,195,561,635,9,307,13,856,6,5,1058,138,309,887
1821,1174,1061,0,100,928,893,231,142,159,1283,6,0,1399,422,223,1598
15601,13356,12847,8569,435,8761,6840,3756,5163,4879,1692,18,93,7033,8568,942,14659
1589,1060,877,29,173,804,785,30,529,36,983,8,3,1252,337,357,1232
1047,1031,1030,674,3,576,471,385,239,109,254,6,54,454,593,138,909
2298,2231,2153,1165,7,1445,853,735,182,880,449,4,48,1326,972,209,2089
1068,440,280,20,257,501,567,9,327,16,708,8,0,831,237,171,897
1361,528,416,18,266,639,714,17,300,11,946,4,4,1117,244,295,1066
1421,959,713,75,152,717,704,14,415,13,973,4,2,1348,73,329,1092
1255,1000,902,34,56,646,609,10,345,13,877,6,4,1117,138,196,1059
1221,810,713,28,87,567,654,23,415,17,759,3,4,1038,183,219,1002
720,579,557,182,26,364,356,9,144,34,526,6,1,607,113,160,560
897,178,134,0,110,424,473,22,271,4,597,3,0,729,168,268,629
1309,722,521,5,172,632,677,4,364,8,925,4,4,1165,144,281,1028
843,458,390,18,155,419,424,2,7,0,833,0,1,751,92,12,831
655,451,387,23,72,311,344,36,224,47,332,7,9,538,117,150,505
6447,3614,3015,597,926,3316,3131,242,2065,1130,2977,17,16,4984,1463,843,5604
2096,1997,1935,1088,8,1136,960,1045,151,555,288,10,47,922,1174,289,1807
1641,1561,1500,795,13,923,718,290,253,443,643,5,7,1199,442,178,1463
218,180,160,0,9,93,125,4,186,3,21,2,2,163,55,56,162
341,133,133,0,110,174,167,0,148,2,189,1,1,276,65,71,270
1353,1041,859,0,100,799,554,45,432,69,784,10,13,1045,308,313,1040
197,43,39,0,85,79,118,2,44,4,145,2,0,178,19,46,151
10668,7828,6743,2291,779,5135,5533,5771,1380,894,2560,29,34,5429,5239,1948,8720
1827,1764,1749,1361,14,881,946,575,262,584,379,11,16,949,878,110,1717
1081,566,353,6,189,498,578,7,331,3,674,3,0,936,145,243,833
395,189,119,22,79,188,207,2,101,3,199,1,2,360,35,85,223
12799,8599,7744,3085,1189,5572,7227,3978,720,4561,3469,20,51,9129,3670,1781,11018
1032,796,735,208,50,546,486,80,135,115,688,13,1,969,63,39,993
4223,2678,2538,793,505,2005,2218,256,135,1524,2293,15,0,3566,657,20,4203
11715,6367,5190,1361,1847,5065,6650,565,934,3058,7088,36,34,8199,3516,1140,10575
4564,1894,1164,162,967,2278,2286,71,1081,178,3155,12,5,3587,977,669,3895
1106,114,89,0,153,555,551,133,411,134,417,9,2,731,375,180,926
1047,1010,1005,0,9,590,457,347,198,103,366,5,28,486,561,115,932
999,152,122,0,141,514,485,15,859,6,111,6,2,810,189,187,812
796,501,418,21,95,338,458,23,222,105,434,5,7,649,147,195,601
521,414,378,1,17,267,254,156,174,82,102,5,2,421,100,67,454
1010,528,332,8,205,346,664,14,267,32,691,5,1,806,204,252,758
1507,1265,1238,285,54,843,664,76,480,220,638,76,17,1115,392,192,1315
708,76,26,0,78,348,360,7,588,3,106,2,2,519,189,58,650
1034,706,672,1,113,498,536,0,1,1,1031,1,0,866,168,24,1010
868,640,628,5,77,423,445,0,1,0,866,1,0,836,32,12,856
1504,1210,996,174,78,821,683,24,513,48,891,10,18,1221,283,231,1273
1252,824,664,42,76,596,656,89,481,97,553,6,26,951,301,191,1061
726,292,105,2,262,325,401,12,168,11,196,2,0,634,92,136,583
937,679,620,96,28,441,496,11,837,40,41,5,3,652,285,117,820
748,495,483,14,10,200,548,3,637,19,84,3,2,525,223,123,625
2266,1078,541,69,298,1002,1241,27,1926,13,190,15,3,1808,458,309,1957
573,235,225,5,117,309,264,9,215,6,337,4,2,464,109,105,468
554,372,323,41,68,249,305,43,132,48,315,14,2,418,136,113,441
1786,1570,1366,280,68,955,831,138,645,95,859,18,31,1282,504,237,1549
568,190,96,0,121,430,138,4,246,8,307,3,0,484,84,122,446
1400,944,807,34,139,787,613,8,1039,10,329,11,3,1165,235,250,1150
8523,5409,4518,1124,1000,4104,4419,2505,2278,647,3036,36,21,4892,3631,1612,6911
926,739,684,145,39,535,391,16,779,33,86,8,4,658,268,123,803
706,129,110,0,75,305,401,211,205,66,217,5,2,567,139,135,571
1670,1482,1360,340,18,1214,456,726,443,87,372,12,30,574,1096,128,1542
3782,2282,1812,72,408,1926,1856,47,1177,35,2499,14,10,2995,787,538,3244
514,205,59,0,167,0,3,0,3,0,0,0,0,274,240,37,282
1545,226,164,0,446,848,697,9,404,7,932,193,0,1311,234,235,1310
2655,376,273,11,302,1274,1381,209,968,335,1110,29,4,1940,715,324,2331
1017,803,777,175,35,514,503,35,481,306,164,22,9,841,176,122,895
1779,1674,1630,1118,19,1137,642,59,776,646,254,28,16,1064,715,56,1723
981,713,658,135,143,382,599,30,479,46,413,11,2,732,249,156,825
497,459,455,292,5,274,223,11,41,309,127,5,4,428,69,29,468
1656,1607,1605,1478,2,771,885,138,182,1169,140,6,21,1035,621,4,1652
4108,3581,3030,490,93,2195,1913,528,1848,1028,646,43,15,2290,1818,640,3468
2196,1935,1874,738,68,1068,1128,862,87,242,958,19,28,1282,914,328,1868
1327,926,865,79,104,615,712,14,1126,47,109,10,21,944,383,186,1141
1045,73,66,0,285,521,524,114,487,83,266,93,2,857,188,99,946
749,700,695,308,13,394,355,138,128,277,185,4,17,351,398,93,656
5384,3803,3422,797,425,2076,3308,507,431,551,3889,4,2,4440,944,798,4586
476,373,352,85,26,153,323,108,120,46,189,3,10,292,184,145,331
1704,1250,1206,189,133,806,898,726,369,215,379,7,8,1258,446,267,1437
2705,1769,1490,525,213,792,1913,600,973,130,986,10,6,1737,968,711,1994
1600,1165,1046,93,195,977,623,112,458,50,967,8,5,1210,390,312,1288
834,747,636,97,33,651,183,70,361,13,385,1,4,653,181,83,751
791,161,118,1,109,390,401,15,626,7,136,6,1,687,104,253,538
2210,1424,1161,138,266,1539,671,69,739,91,1285,17,9,1695,515,423,1787
11190,5854,4736,591,2123,5177,6013,502,1526,3859,5118,128,57,8151,3039,1391,9799
2509,2100,1823,533,104,1208,1301,611,313,223,1347,8,7,1568,941,377,2132
2604,1948,1804,446,132,1243,1361,632,323,780,841,8,20,1830,774,406,2198
1802,1447,1230,110,71,903,899,238,164,286,1099,5,10,1353,449,242,1560
1457,1329,1259,463,44,772,685,309,118,389,594,33,14,1099,358,250,1207
608,393,367,28,87,290,318,23,342,25,199,6,13,441,167,139,469
674,425,358,29,112,293,381,86,310,23,226,5,24,497,177,146,528
2771,1191,833,64,570,635,2136,20,858,37,1833,23,0,2408,363,637,2134
2485,1023,515,97,387,1086,1222,12,1866,8,107,9,5,1040,1268,312,2173
3144,527,268,0,395,1792,1352,100,1175,78,1769,14,8,2557,587,366,2778
1409,1403,1396,1312,4,818,591,575,301,254,264,11,4,780,629,80,1329
731,513,455,63,70,430,301,17,385,82,238,7,2,638,93,143,588
639,246,140,3,141,319,320,3,217,19,395,1,4,562,77,147,492
715,366,276,9,71,341,320,10,529,1,38,4,1,508,207,142,573
1496,851,610,0,193,742,754,11,514,11,949,9,2,1397,99,327,1169
1029,750,639,65,68,494,535,10,944,10,64,0,1,817,212,168,861
291,121,51,0,64,137,154,21,100,26,141,2,1,204,87,51,240
468,213,198,0,111,280,188,6,170,6,278,4,4,408,60,122,346
1561,1351,1349,0,22,781,780,552,230,276,425,4,74,586,975,234,1327
480,346,295,5,46,210,270,33,130,30,278,5,4,369,111,101,379
2668,1906,1700,259,161,1179,1489,74,2062,168,340,9,15,1850,818,277,2391
1222,1171,1126,218,6,605,617,14,1024,52,110,12,10,1008,214,49,1173
530,222,79,0,171,0,5,0,2,0,3,0,0,470,60,5,0
6843,3371,2356,410,1199,3368,3475,774,4191,839,999,15,25,2830,4013,787,6056
61,9,0,0,30,22,33,0,7,0,53,1,0,20,35,10,0
1111,965,846,135,26,597,514,12,318,17,756,6,2,1024,87,222,889
1155,144,88,1,159,560,595,74,266,21,773,20,1,939,216,234,921
2272,753,226,28,566,1043,1229,37,2032,23,176,2,2,732,1540,330,1942
230,225,223,65,2,112,118,90,34,33,35,3,35,69,161,37,193
196,176,169,0,4,97,99,3,145,2,40,1,5,152,44,43,153
704,248,47,2,216,255,353,3,290,6,26,0,0,60,265,46,562
4543,4484,4484,4379,8,2044,2499,2753,59,1518,197,10,6,1191,3352,46,4497
456,382,351,19,38,153,303,29,123,13,282,4,5,372,84,120,336
13474,13102,13102,12896,26,5694,7780,3550,199,9154,382,24,165,5437,8037,51,13423
2633,1945,1757,198,170,1260,1373,191,203,190,2042,5,2,2080,553,533,2100
13481,10648,9378,3659,826,6655,6826,6799,1502,2013,3076,47,44,6121,7360,2350,11131
1817,1684,1599,591,25,1409,408,336,640,67,731,5,38,1037,780,115,1702
1289,897,769,149,90,815,474,11,1081,8,183,4,2,1082,207,259,1030
1287,763,576,41,172,619,668,16,367,15,884,1,4,1058,229,257,1030
1167,731,586,37,104,597,570,149,528,48,426,2,14,791,376,174,993
11785,11672,11672,11420,10,5105,6680,3134,433,7195,833,36,154,5037,6748,103,11682
1276,765,598,38,176,556,720,35,730,38,451,21,1,877,399,255,1021
330,204,154,2,47,149,181,7,245,13,62,3,0,280,50,89,241
394,327,314,39,20,161,233,12,194,13,165,4,6,353,41,65,329
1534,1014,767,36,165,795,739,22,369,10,1114,6,13,1235,299,265,1269
651,570,556,69,12,378,273,20,138,25,451,15,2,529,122,64,587
308,294,293,0,1,214,94,195,15,35,48,3,12,62,246,51,257
2182,1402,1083,148,215,916,1266,21,144,9,1998,5,5,1963,219,338,1844
21,15,15,13,0,0,21,0,10,3,8,0,0,15,6,13,8
62,51,48,0,0,36,26,1,44,0,16,1,0,48,14,5,57
930,679,614,109,80,439,491,41,243,18,621,2,5,780,150,186,744
2115,1544,1236,130,162,1113,1002,67,678,106,1231,15,18,1520,595,326,1789
3435,2550,2159,431,234,1262,2173,61,1190,106,2060,17,1,2666,769,477,2958
1045,644,552,39,145,522,523,11,796,19,110,7,3,890,155,138,907
731,538,495,95,37,395,336,29,152,236,294,2,18,610,121,118,613
6406,5417,4870,1559,228,5855,551,322,2341,288,3413,19,23,5322,1084,771,5635
142,53,46,0,15,56,86,3,60,18,54,5,2,114,28,52,90
470,414,410,0,9,229,241,2,94,3,370,0,1,452,18,88,382
1477,1005,896,32,95,1190,287,52,516,31,855,19,4,1158,319,250,1227
1263,793,704,13,145,588,675,30,501,20,693,10,9,941,322,259,1004
752,519,478,38,93,350,402,16,195,19,507,12,3,682,70,167,585
1892,1730,1545,620,20,911,981,1085,336,131,330,7,3,714,1178,328,1564
1142,869,764,45,68,667,475,18,373,18,729,2,2,972,170,213,929
321,272,251,2,24,202,119,11,133,49,110,6,12,251,70,41,280
345,278,271,33,24,174,171,11,98,19,212,2,3,253,92,70,275
307,203,178,0,27,145,162,6,142,5,148,1,5,254,53,82,225
730,487,380,28,83,321,409,26,184,13,497,3,7,642,88,199,531
1435,1279,1167,28,33,872,563,14,1074,25,292,8,22,1065,370,176,1259
893,574,489,1,136,448,445,16,335,13,521,4,4,702,191,172,721
990,780,714,65,59,676,314,20,265,16,678,7,4,747,243,177,813
651,96,0,0,330,290,361,0,2,0,4,0,0,498,153,122,335
9368,8075,7674,3596,309,3233,6135,495,2326,4222,2122,185,18,5657,3711,858,8510
946,313,31,5,257,314,324,2,242,3,85,0,0,706,240,85,553
1451,1142,894,12,62,808,643,5,1098,14,319,5,10,999,452,220,1231
16723,14058,12494,5538,874,8200,8523,13647,335,982,1662,45,52,3740,12983,2267,14456
4714,4700,4700,4618,2,3308,1406,1310,294,2468,546,19,77,2651,2063,45,4669
4530,2981,2428,578,350,838,3692,74,2997,219,1197,38,5,3733,797,731,3799
539,449,415,165,18,374,165,31,114,81,304,2,7,450,89,71,468
945,644,544,22,121,364,581,21,340,40,529,10,5,792,153,220,725
1854,1661,1345,0,87,1070,784,30,474,50,1282,7,11,1604,250,208,1646
1664,1255,1026,306,142,762,902,69,330,479,757,8,21,1390,274,312,1352
670,281,244,0,23,406,264,183,226,35,211,4,11,375,295,70,600
756,423,382,10,79,281,475,36,614,13,86,4,3,607,149,119,637
423,185,73,8,97,0,423,7,223,1,189,3,0,341,82,93,330
844,665,600,32,73,473,371,32,331,47,431,2,1,672,172,152,692
773,699,682,301,14,169,604,45,252,63,399,7,7,477,296,154,619
596,490,450,32,20,596,0,55,427,28,78,5,3,457,139,86,510
365,322,305,7,15,118,247,33,99,36,176,4,17,267,98,57,308
1443,1092,941,198,97,544,899,197,390,50,768,10,28,1008,435,247,1196
916,741,692,184,33,441,475,14,299,19,580,4,0,844,72,195,721
583,537,532,235,17,583,0,91,98,287,104,2,1,514,69,79,504
1297,929,748,6,148,617,680,47,476,28,719,17,10,966,331,231,1066
846,619,566,27,111,662,184,8,478,7,340,4,9,682,164,167,679
400,283,236,4,33,188,210,11,68,9,164,1,1,254,146,84,312
861,578,502,46,71,861,0,17,395,40,395,4,10,701,160,135,726
1169,742,707,30,116,330,839,43,295,66,757,3,5,909,260,220,949
943,604,473,0,93,556,387,11,695,13,214,6,4,750,193,182,761
331,155,81,6,58,176,155,4,189,2,134,1,1,213,118,54,277
1267,771,649,11,139,741,526,7,408,8,837,5,2,1138,129,244,1023
1562,1047,964,0,132,824,738,91,438,103,895,17,18,1149,413,319,1243
689,559,537,99,27,354,335,88,81,113,384,5,18,492,197,117,572
853,636,565,8,48,403,450,23,757,8,54,5,6,654,199,144,709
871,205,190,0,59,423,448,17,571,87,174,20,2,680,191,92,779
1165,133,120,0,156,529,636,72,232,82,769,6,4,891,274,99,1066
2893,1441,940,103,537,1960,933,34,1983,40,806,24,6,2377,516,747,2146
1645,1028,839,105,136,945,700,18,999,18,600,7,3,1354,291,305,1340
2485,800,252,39,653,1249,1236,22,452,49,1639,2,1,2146,339,394,2091
895,658,607,123,37,393,502,4,42,3,841,1,4,723,172,158,737
4573,1935,1215,101,1195,2428,2145,121,1431,221,2778,15,7,3541,1032,613,3960
1255,164,76,0,280,687,560,10,1043,11,89,8,2,1087,168,109,1146
994,690,588,69,89,432,562,17,251,31,686,8,1,899,95,203,791
1368,129,88,0,195,589,779,219,189,106,846,4,4,1022,346,282,1086
808,607,558,60,68,385,423,88,194,50,461,12,3,604,204,158,650
12424,7486,6653,2158,1772,5721,6703,1980,930,3568,5856,50,40,8280,4144,1415,11009
3495,1745,1380,137,605,742,2753,233,2494,103,645,13,7,2879,616,834,2661
484,98,3,0,304,222,248,2,116,5,220,1,0,351,119,115,355
1607,1466,1387,345,67,392,1215,74,602,40,873,8,10,1331,276,343,1264
1990,1797,1703,402,52,1019,971,204,475,46,1245,10,10,1675,315,263,1727
1874,1007,847,64,234,879,995,25,941,30,852,14,12,1520,354,402,1472
860,541,503,62,109,859,1,45,396,50,355,8,6,733,127,140,720
1158,694,562,41,148,724,434,14,912,25,191,12,4,956,202,224,934
977,899,856,156,14,595,382,476,91,130,273,3,4,509,468,174,803
545,496,408,6,24,294,251,4,122,5,401,6,7,431,114,112,433
721,681,674,365,5,401,320,9,419,188,71,21,13,501,220,34,687
1152,1138,1030,359,1,1152,0,33,358,65,676,4,16,935,217,141,1011
362,351,327,60,5,362,0,13,210,12,114,2,11,256,106,51,311
193,177,173,84,6,193,0,1,71,6,111,2,2,160,33,35,158
695,670,657,254,1,695,0,120,38,272,263,2,0,568,127,64,631
733,673,645,230,11,733,0,19,398,173,116,8,19,538,195,99,634
